row_id|at_merchantid|at_transactioncity|at_transactionstateprovince|at_transactionpostalcode1|at_transactionpostalcode2|at_transactioncountrycode|card_acpt_merchant_name|at_transactiondescription|at_transactiondescription2|at_mcccode
12||MASSILLON|OH|||US|Wal-Mart Super Center|1222Wal-Mart Super Center MASSILLON OH   0XXXXXXXXXXXXXXXX|Wal-Mart Super Center|5411.0
14|5101591661141240000|ROCKY POINT|NY|11778.0||US|ROCKY POINT ANIMAL HOSP|1217ROCKY POINT ANIMAL HOS ROCKY POINT NY0XXXXXXXXXXXXXXXX|ROCKY POINT ANIMAL HOSP|742.0
39||HUNTINGTON ST|NY|||US|BEST BUY/MHT #345|1205BEST BUY/MHT #345 HUNTINGTON ST NY   0XXXXXXXXXXXXXXXX|BEST BUY/MHT #345|5732.0
104|0599210000577260000|415-800-5959|CA|94103.0||US|AIRBNB INC|1224AIRBNB INC 415-800-5959 CA           0XXXXXXXXXXXXXXXX|AIRBNB INC|7011.0
105|0599210000577260000|415-800-5959|CA|94103.0||US|AIRBNB INC|1226AIRBNB INC 415-800-5959 CA           0XXXXXXXXXXXXXXXX|AIRBNB INC|7011.0
107|0599210000577260000|415-800-5959|CA|94103.0||US|AIRBNB INC|1213AIRBNB INC 415-800-5959 CA           0XXXXXXXXXXXXXXXX|AIRBNB INC|7011.0
131|0000000004559920000|MADERA|CA|||US|WHITTEMORE AUCTION SER|2977391204WHITTEMORE AUCTION SER MADERA CA     0XXXXXXXXXXXXXXXX|WHITTEMORE AUCTION SERV|7278.0
230|67224228379    0000|YUMA|AZ|||US|JCPENNEY STORE 2837|6409581216JCPENNEY STORE 2837 YUMA AZ          0XXXXXXXXXXXXXXXX|JCPENNEY STORE 2837|5311.0
231|67224228379    0000|YUMA|AZ|||US|JCPENNEY STORE 2837|1183521222JCPENNEY STORE 2837 YUMA AZ          0XXXXXXXXXXXXXXXX|JCPENNEY STORE 2837|5311.0
302|4031358001604030000|SEATTLE|WA|98101.0||US|SALON CIRCA|0200391202SALON CIRCA SEATTLE WA               0XXXXXXXXXXXXXXXX|SALON CIRCA|7230.0
