row_id|at_merchantid|at_transactioncity|at_transactionstateprovince|at_transactionpostalcode1|at_transactionpostalcode2|at_transactioncountrycode|at_transactiondescription|at_transactiondescription2|at_mcccode
163|422369290115364|714-308-4848|CA|92701||US|PACIFICA T-SHIRTS        714-308-4848 CA|PACIFICA T-SHIRTS|5999
236|234115000183029|800-206-6887|KY|40220||US|FSI*KY FARM BUREAU       800-206-6887 KY|FSI*KY FARM BUREAU|5960
422|345049324881|VISTA|CA|92081||US|HEARX WEST #70513        VISTA        CA|HEARX WEST #70513|5975
485|008788014053256|TEMPLE|TX|76504||USA|ENDODONTIC ASSOCIATES    TEMPLE       TX|ENDODONTIC ASSOCIATES|8021
549|529459001130523|888-557-7177|NY|10605||US|LLS-E-FUNDRAISING        888-557-7177 NY|LLS-E-FUNDRAISING|8398
633|846214087880|WAUNAKEE|WI|53597||US|WAUNAKEE FURNITURE       WAUNAKEE     WI|WAUNAKEE FURNITURE|5712
965|215218983991|888-685-1517|MI|48393||US|ROBIN AIRE HTG &  COOL   888-685-1517 MI|ROBIN AIRE HTG &  COOL|1711
1150|537402901190275|HILLSBORO|OR|97124||US|EXTENDEDSTAY #9823       HILLSBORO    OR|EXTENDEDSTAY #9823|3621
1152|174030072998|402-935-7733|CA|95131||US|PAYPAL *SVDPSEATTLE      402-935-7733 CA|PAYPAL *SVDPSEATTLE|8398
1182|84870011599979|800-624-7092|NE|68504||US|NBS / FACTS *TRINITY CHRI800-624-7092 NE|NBS / FACTS *TRINITY CHRI|8211
1781|019975000017510|800-242-6422|RI|2865||US|AMI*AMICA INSURANCE      800-242-6422 RI|AMI*AMICA INSURANCE|6300
1851|3993151|PORTSMOUTH||0||GB|MARRIOTT                 PORTSMOUTH|MARRIOTT|3509
2076|544122101191290|714-246-4500|CA|92623||USA|ALLERGAN USA, INC        714-246-4500 CA|ALLERGAN USA, INC|5047
2203|554135021902549|707-633-6340|CA|95524||US|MCFARLAND DESIGNS        707-633-6340 CA|MCFARLAND DESIGNS|5944
2300|107227246991|TUCSON|AZ|85711||US|S SILVERBERG & SONS INC  TUCSON       AZ|S SILVERBERG & SONS INC|5944
2820|185585000015677|888-296-2747|NJ|8110||US|AVL*OASIS CD MANUFACTU   888-296-2747 NJ|AVL*OASIS CD MANUFACTU|5099
