row_id|at_merchantid|at_transactioncity|at_transactionstateprovince|at_transactionpostalcode1|at_transactionpostalcode2|at_transactioncountrycode|at_transactiondescription|at_transactiondescription2|at_mcccode
0|376231022991|WESTLEY|CA|95387||US|JOE'S TRAVEL PLAZA II    WESTLEY      CA|JOE'S TRAVEL PLAZA II|5541
12|170031000111695|REDDING|CA|96002||US|LOWES #01926*            REDDING      CA|LOWES #01926*|5200
16|899000002132957|ROCHESTER|MN|55902||US|THE LOOP                 ROCHESTER    MN|THE LOOP|5812
26|048200402997|BREAUX BRIDGE|LA|70517||US|WAL-MART #0402           BREAUX BRIDGELA|WAL-MART #0402|5411
27|000000336687579|TOMBALL|TX|77377||USA|VERIZON WIRELESS 10050   TOMBALL      TX|VERIZON WIRELESS 10050|4812
31|068337000017510|800-242-6422|RI|2865||US|AMI*AMICA INSURANCEAPP   800-242-6422 RI|AMI*AMICA INSURANCEAPP|6300
44|006000020017109|TAMPA|FL|33607||US|NATIONAL CAR RENTAL      TAMPA        FL|NATIONAL CAR RENTAL|3393
50|101001003037165|HALES CORNERS|WI|53130||US|HOLZ MOTORS              HALES CORNERSWI|HOLZ MOTORS|5511
64|009100000000918|MATTHEWS|NC|28105||US|TARGET        00009183   MATTHEWS     NC|TARGET        00009183|5411
65|169492000111695|HOUSTON|TX|77049||US|LOWES #01145*            HOUSTON      TX|LOWES #01145*|5200
78|542929804095909|GARDEN CITY|NY|11530||US|RUTH'S CHRIS STEAK       GARDEN CITY  NY|RUTH'S CHRIS STEAK|5812
83|000000853768942|GREENWICH|CT|6830||US|INTERSTATE + LAKELAND    GREENWICH    CT|INTERSTATE + LAKELAND|5211
93|4445091081679|FLEMINGTON|NJ|8822||US|MARSHALLS #440           FLEMINGTON   NJ|MARSHALLS #440|5651
116|84870006384270|800-228-0475|NE|68137||US|ORIENTAL TRADING CO      800-228-0475 NE|ORIENTAL TRADING CO|5964
120|21-8023802252|866-7128655|MA|2149||US|BOSTON COACH             866-7128655  MA|BOSTON COACH|4121
197|00001200618572|WELLINGTON||0||NZ|BOOKIT.CO.NZ             WELLINGTON|BOOKIT.CO.NZ|7011
