row_id|at_merchantid|at_transactioncity|at_transactionstateprovince|at_transactionpostalcode1|at_transactionpostalcode2|at_transactioncountrycode|at_transactiondescription|at_transactiondescription2|at_mcccode
43||||||||PAYPAL           |
60||||||||PAYPAL           |
136||||||||PAYPAL           |
153||||||||PAYPAL           |
203||||||||PAYPAL           |
248||||||||BANKCARD         |
253||||||||PAYPAL           |
256||||||||FDMS-SETTLEMENT  |
302||||||||AMERICAN EXPRESS |
312||||||||PAYPAL           |
323||||||||JUN YOU          |
338||||||||DEPT EDUCATION   |
346||||||||GROUPON INC           |
359||||||||STATE FARM RO 27 |
363||||||||STRONACH_ENT_GRP |
366||||||||THE GAS COMPANY  |
425||||||||THE GAS COMPANY  |
448||||||||BANK OF AMERICA  |
547||||||||PAYPAL           |
575||||||||CON ED OF NY     |
589||||||||PAYPAL           |
684||||||||BILLMATRIX       |
710||||||||CHUZE FITNES     |
720||||||||PAYPAL           |
822||||||||WEI YU CHEN      |
860||||||||AMERICAN EXPRESS |
861||||||||HIGHERONE VERIFY |
886||||||||PAYPAL           |
891||||||||BA Merchant Sv.  |
896||||||||BANKCARD 4389    |
910||||||||CMFG LIFE INS CO |
911||||||||American Express |
964||||||||PAYPAL           |
966||||||||BKCD PROCESSING  |
989||||||||PAYPAL           |
993||||||||ard ending in 9048|
1050||||||||Acorns Investmen |
1078||||||||AYLISSDESIGN     |
1101||||||||PAYPAL           |
1165||||||||WorldPay         |
1197||||||||DISCOVERY BENEFI |
1203||||||||MERCHANT BNKCD        |
1234||||||||MERCHANT BNKCD        |
1344||||||||PAYPAL           |
1403||||||||Synchrony Bank   |
1409||||||||PAYPAL           |
1511||||||||PAYPAL           |
1521||||||||PAYPAL           |
1531||||||||PAYPAL           |
1551||||||||USAA FSB         |
1647||||||||Acorns Investmen |
1668||||||||PAYPAL           |
1697||||||||PAYPAL           |
1863||||||||TARGET DEBIT CRD |
1951||||||||CLUB SYSTEMS     |
1980||||||||TARGET DEBIT CRD |
2023||||||||FarmersNewWrld   |
2037||||||||CAPITAL ONE      |
2084||||||||Square Inc       |
2218||||||||Acorns Investmen |
2231||||||||PAYMENTECH       |
2234||||||||MTATB REBILL AC A|
2381||||||||METLIFE          |
2476||||||||PAYPAL           |
2478||||||||BILLMATRIX       |
2544||||||||  SAV ...7734 transaction#: |
2591||||||||PAYPAL           |
2594||||||||MERCHANT BANKCD  |
2620||||||||BK OF AM CRD ACH |
2665||||||||ard ending in 7419|
2715||||||||HERITAGE FOUNDAT |
2722||||||||PAYPAL           |
2726||||||||PAYPAL           |
2793||||||||PAYPAL           |
2852||||||||CAPITAL ONE      |
2942||||||||COX COMM PHX     |
3005||||||||BANKCARD         |
3008||||||||PAYPAL           |
3010||||||||PAYPAL           |
3023||||||||BILLMATRIX       |
3031||||||||PAYPAL           |
3437||||||||BANG XI WANG     |
3456||||||||PAYMENTECH       |
3476||||||||PAYPAL           |
3489||||||||PAYMENTECH       |
3519||||||||ONLINE BILL PMT  |
3539||||||||ard ending in 5126|
3540||||||||CAPITAL ONE      |
3648||||||||L A FITNESS      |
3673||||||||PAYPAL           |
3675||||||||LEPEAN88         |
3683||||||||PAYPAL           |
3729||||||||PAYPAL           |
3760||||||||PAYPAL           |
3785||||||||PAYPAL           |
3810||||||||RENT ONLINE FEE  |
3816||||||||LVVWD            |
3825||||||||PAYPAL           |
3834||||||||MERCHANT BNKCD        |
3845||||||||Tran Fee         |
3915||||||||JING FENG        |
3928||||||||1-800-438-1771   |
3936||||||||CITI CARD ONLINE |
3948||||||||Entergy Services |
4001||||||||CAPITAL ONE      |
4029||||||||PAYPAL           |
4055||||||||TARGET DEBIT CRD |
4124||||||||HRTLAND PMT SYS  |
4136||||||||HAI BIN ZUO      |
4167||||||||KISSBUYONLINE    |
4180||||||||PAYMENTECH       |
4199||||||||GRAY,JOSCELYN    |
4236||||||||PAYPAL           |
4262||||||||PAYPAL           |
4265||||||||BILLMATRIX       |
4302||||||||AD&D 8558829536  |
4354||||||||SO CALIF EDISON  |
4373||||||||BILLMATRIX       |
4380||||||||QIU BO LUO       |
4403||||||||PAYPAL           |
4413||||||||PAYPAL           |
4414||||||||VENMO            |
4475||||||||HUMANA,  INC.    |
4477||||||||HRTLAND PMT SYS  |
4482||||||||CAPITAL ONE      |
4491||||||||PAYMENTECH       |
4614||||||||PAYPAL           |
4679||||||||COMCAST          |
4750||||||||JIN BU LIN       |
4783||||||||PAYPAL           |
4878||||||||FPUC             |
4881||||||||CA INC.          |
4906||||||||PAYMENTECH       |
5033||||||||PAYPAL           |
5043||||||||PAYPAL           |
5110||||||||SANDBAG LTD      |
5122||||||||STATE FARM RO 27 |
5153||||||||PAYPAL           |
5179||||||||PAYPAL           |
5231||||||||PAYPAL           |
5238||||||||STRONACH_ENT_GRP |
5253||||||||PAYPAL           |
5283||||||||CTSHOLDINGS,LLC  |
5316||||||||PAYPAL           |
5404||||||||LT-DAYDAYUP      |
5581||||||||PAYPAL           |
5593||||||||  SAV ...1295 transaction#: |
5601||||||||Synchrony Bank   |
5602||||||||THE GAS COMPANY  |
5622||||||||PAYPAL           |
5628||||||||COINBASE.COM/BTC |
5687||||||||AMERICAN EXPRESS |
5694||||||||PAYPAL           |
5773||||||||PAYPAL           |
5798||||||||PAYPAL           |
5878||||||||PAYPAL           |
5922||||||||MERRICK BANK COR |
5948||||||||LEGALSHIELD      |
6159||||||||PAYPAL           |
6171||||||||PAYPAL           |
6239||||||||PAYPAL           |
6242||||||||PAYMENTECH       |
6274||||||||ard ending in 2281|
6283||||||||PAYPAL           |
6305||||||||AMERICAN EXPRESS      |
6316||||||||MTATB REBILL AC A|
6325||||||||JOSE RODRIGUEZCR |
6352||||||||  MMA ...9875 transaction#: |
6427||||||||ALG-888-528-8567 |
6470||||||||PAYMENTECH       |
6477||||||||PAYPAL           |
6556||||||||ERIFYBANK                 PP|
6560||||||||GLOBE LIFE INS   |
6569||||||||PAYPAL           |
6643||||||||SKYPE COMMUNICAT |
6648||||||||CRUNCH FIT   ABC |
6678||||||||PAYPAL           |
6698||||||||18002530956      |
6708||||||||MERCHANT BNKCD        |
6753||||||||PAYPAL           |
6769||||||||85401 MIDWEST    |
6777||||||||PAYPAL           |
6778||||||||PAYPAL           |
6792||||||||PAYPAL           |
6827||||||||PAYPAL           |
6881||||||||AMERICAN EXPRESS |
6900||||||||PAYMENTECH       |
6911||||||||GLOBE LIFE INS   |
6914||||||||BANK OF AMERICA  |
6915||||||||PAYPAL           |
7166||||||||MERCHANT BANKCD  |
7240||||||||QVC CC           |
7307||||||||PAYPAL           |
7340||||||||BILLMATRIX       |
7358||||||||MERCH BANKCARD   |
7379||||||||PROGRESSIVE RENT |
7389||||||||PAYPAL           |
7451||||||||PAYPAL           |
7500||||||||EBPAYMENT                 WE|
7611||||||||PAYPAL           |
7612||||||||STRONACH_ENT_GRP |
7637||||||||ard ending in 5106|
7664||||||||PAYPAL           |
7689||||||||CARDWORKS ACQ    |
7690||||||||PAYPAL           |
7761||||||||ILLPAYFEE 14703793722     WE|
7784||||||||YUXING SONG      |
7811||||||||PAYPAL           |
7813||||||||MACYS WEB PYMT   |
7900||||||||JPMorgan Chase   |
7952||||||||PAYPAL           |
7961||||||||PAYPAL           |
7982||||||||Tran Fee              |
7988||||||||PAYPAL           |
8003||||||||BILLMATRIX       |
8031||||||||MERCHANT BNKCD        |
8144||||||||PAYPAL           |
8154||||||||PAYPAL           |
8176||||||||PAYPAL           |
8229||||||||PAYPAL           |
8259||||||||ard ending in 4849|
8278||||||||MotorCarrierCFee |
8444||||||||PAYPAL           |
8501||||||||Tran Fee         |
8558||||||||QUICKEN BILL PAY |
8561||||||||APP  8888176833  |
8640||||||||PAYMENTECH            |
8710||||||||PAYPAL           |
8725||||||||PAYPAL           |
8767||||||||SALLIE MAE BANK  |
8782||||||||G2A.COM          |
8881||||||||N.MALL-US        |
8884||||||||ard ending in 6402|
8893||||||||PAYPAL           |
9017||||||||PAYPAL           |
9051||||||||PAYPAL           |
9069||||||||NATIONAL INCOME  |
9100||||||||VENMO            |
9105||||||||PAYPAL           |
9147||||||||PAYLEASELLC      |
9183||||||||AMERICAN EXPRESS |
9245||||||||LEGALSHIELD      |
9246||||||||Nelnet           |
9284||||||||ard ending in 6544|
9322||||||||LAWRENCE UNIV    |
9383||||||||PAYPAL           |
9435||||||||VENMO            |
9493||||||||PAYPAL           |
9513||||||||CyFair ISD       |
9514||||||||PAYPAL           |
9568||||||||EASY CALL INC    |
9636||||||||  MMA ...4041 transaction#: |
9694||||||||PAYPAL           |
9746||||||||DISCOVER         |
9810||||||||TEXAS MUNICIPAL  |
9861||||||||BANK OF AMERICA  |
9903||||||||PAYPAL           |
9975||||||||PAYPAL           |
9976||||||||Square Inc       |
9979||||||||GLOBE LIFE INS   |
10008||||||||PAYPAL           |
10065||||||||PAYPAL           |
10068||||||||Bank of America  |
10080||||||||IRS              |
10115||||||||PAYPAL           |
10172||||||||TARGET DEBIT CRD |
10189||||||||BILLMATRIX       |
10231||||||||RONG ZHU HU      |
10301||||||||PAYPAL           |
10394||||||||PAYPAL           |
10405||||||||PAYPAL           |
10493||||||||MERCHANT BNKCD        |
10548||||||||EXTRAS           |
10556||||||||LADYSMALL2014    |
10590||||||||US BANK HOME MTG |
10629||||||||CHASE            |
10641||||||||Banana Visa      |
10645||||||||PAYPAL           |
10657||||||||PAYPAL           |
10689||||||||CAPITAL ONE      |
10784||||||||PAYMENTECH            |
10827||||||||PAYPAL           |
10910||||||||PAYPAL           |
10984||||||||PAYPAL           |
10988||||||||TR TO NAVYCASH   |
10993||||||||PAYPAL           |
10997||||||||PAYPAL           |
11015||||||||EMS              |
11099||||||||PAYPAL           |
11129||||||||NAVI ED SERV WEB |
11191||||||||PAYPAL           |
11284||||||||PAYPAL           |
11288||||||||BANK OF AMERICA  |
11310||||||||BANK OF AMERICA  |
11382||||||||TARGET DEBIT CRD |
11422||||||||EMS              |
11431||||||||BANKCARD-1419    |
11481||||||||PAYPAL           |
11535||||||||PAYX-FSA              |
11610||||||||ZOU TAO          |
11623||||||||AMERICAN EXPRESS |
11720||||||||PAYPAL           |
11723||||||||CNS SETTLEMENT        |
11736||||||||MTATB REBILL AC A|
11757||||||||GUORUI ZENG      |
11796||||||||PAYPAL           |
11825||||||||PAYCHEX EIB      |
11854||||||||BK OF AM CRD ACH |
