row_id|at_merchantid|at_transactioncity|at_transactionstateprovince|at_transactionpostalcode1|at_transactionpostalcode2|at_transactioncountrycode|at_transactiondescription|at_transactiondescription2|at_mcccode
1056|225658000222707|801-944-1661|UT|84121||USA|EXPRESS USPS POSTAGE     801-944-1661 UT|EXPRESS USPS POSTAGE|4215
6270|089062000854521|CC@GOOGLE.COM|CA|94043||US|GOOGLE *ADWS1449812725   CC@GOOGLE.COMCA|GOOGLE *ADWS1449812725|7311
6284|068500007052392|PLAINVIEW|TX|79072||US|CHS SERVICE CE07052392   PLAINVIEW    TX|CHS SERVICE CE07052392|5541
6304|376263029997|817-510-2300|TX|76116||US|LEADRIVAL                817-510-2300 TX|LEADRIVAL|7311
6840|425166920990|386-274-4000|FL|32117||US|COSTA DEL MAR            386-274-4000 FL|COSTA DEL MAR|5699
8052|089062000854521|CC@GOOGLE.COM|CA|94043||USA|GOOGLE *ADWS7873304778   CC@GOOGLE.COMCA|GOOGLE *ADWS7873304778|7311
15463|03-8027907040|BENSENVILLE|IL|60106||US|CHM WIN CO CHICAGO       BENSENVILLE  IL|CHM WIN CO CHICAGO|1799
16903|03-8001485120|360-4174602|WA|98362||US|CITY OF PORT ANGELES UTIL360-4174602  WA|CITY OF PORT ANGELES UTIL|4900
18352|547050101224667|WEBSTER|TX|77598||USA|STAYBRIDGE SUITES        WEBSTER      TX|STAYBRIDGE SUITES|3791
18444|222282000212229|602-444-8000|AZ|85004||USA|GAN*AZ REP ADV.          602-444-8000 AZ|GAN*AZ REP ADV|7311
20249|372346042883|STOCKTON|CA|95205||US|MEGA MOTORS INC          STOCKTON     CA|MEGA MOTORS INC|5521
20752|233406000053360|GOSQ.COM|TX|78746||US|SQ *ROYAL FIG CATERING   GOSQ.COM     TX|SQ *ROYAL FIG CATERING|5811
30090|454045411020019|WWW.BVBSUD.CO|TX|78207||US|BEXAR CO TAX COLLECTOR CSWWW.BVBSUD.COTX|BEXAR CO TAX COLLECTOR CS|9399
42724|542929804280006|888-816-8606|TX|75234||US|ESSILOR LABORATORI       888-816-8606 TX|ESSILOR LABORATORI|5047
43330|650000008029020|SAN FRANCISCO|CA|94103||US|GIRAUX FINE JEWELRY      SAN FRANCISCOCA|GIRAUX FINE JEWELRY|5944
43408|524771200041640|WATSONVILLE|CA|95076||US|VAJRAYANA FOUNDATION     WATSONVILLE  CA|VAJRAYANA FOUNDATION|8398
43552|20-8002307133|LOS ANGELES|CA|90015||US|EROS TOURS AND TRAVEL    LOS ANGELES  CA|EROS TOURS AND TRAVEL|4722
44982|345339833880|949-474-9200|CA|92614||US|EXPRESS COMPUTERS        949-474-9200 CA|EXPRESS COMPUTERS|5732
48027|16-8027101768|OCALA|FL|34471||US|CUSTOM VINYL SYSTEMS INC OCALA        FL|CUSTOM VINYL SYSTEMS INC|1799
49574|528216601126435|DUBLIN|OH|43016||US|SSFOP                    DUBLIN       OH|SSFOP|7217
49852|936213381887|904-398-5141|FL|32207||US|HARTLEY PRESS, INC       904-398-5141 FL|HARTLEY PRESS, INC|2741
50015|174030075991|6164540000|MI|49544||US|2020 TECHNOLOGIES        6164540000   MI|2020 TECHNOLOGIES|5734
51360|235181960990|SAN FRANCISCO|CA|94103||US|PORCELANOSA SAN FRAN     SAN FRANCISCOCA|PORCELANOSA SAN FRAN|1740
53106|48798235700013|LE GOSIER||97190||GP|HOT FLEUR D EPEE2326090  LE GOSIER|HOT FLEUR D EPEE2326090|7011
57218|948907957007502|704-6048108|NC|28202||US|MAACO FRANCHISING INC    704-6048108  NC|MAACO FRANCHISING INC|5533
58340|210537000031449|FRANKLIN|TN|37067||US|APPLE STORE #R513        FRANKLIN     TN|APPLE STORE #R513|5732
62580|260040629883|641-269-4245|IA|50112||US|GRINNELL COLLEGE         641-269-4245 IA|GRINNELL COLLEGE|8220
63085|234023302990|801-945-7919|UT|84184||US|AMEX GIFTING PRODUCTS    801-945-7919 UT|AMEX GIFTING PRODUCTS|6012
67163|09-8015858197|812-2373511|IN|47809||US|ISU ADMIN WEB            812-2373511  IN|ISU ADMIN WEB|8220
67903|4445183843722|AUBURN HILLS|MI|48326||US|JARED-GALLERIA #474      AUBURN HILLS MI|JARED-GALLERIA #474|5944
69613|07593110001LGF1|866-734-8212|DC|20019||US|U.S. TREASURY TAX PAYM   866-734-8212 DC|U.S. TREASURY TAX PAYM|9311
70381|219040000207048|704-9645467|GA|30339||US|IN *TECH TALENT SOUTH    704-9645467  GA|IN *TECH TALENT SOUTH|7299
74357|948908244000280|6022784444|AZ|85009||US|ARIZONA MATERIALS LLC    6022784444   AZ|ARIZONA MATERIALS LLC|5039
75403|672771700980099|800-779-0760|NV|89135||US|WYNDHAM RESORT DEVELOPMNT800-779-0760 NV|WYNDHAM RESORT DEVELOPMNT|7012
76018|345388150889|4109692322|MD|21108||US|A & D SERVICES INC       4109692322   MD|A & D SERVICES INC|7538
76294|20-8022715869|800-2001213|CA|92704||US|TAHITI LEGENDS           800-2001213  CA|TAHITI LEGENDS|4722
76695|260161080882|816-921-8000|MO|64129||US|KANSAS CITY ROYALS       816-921-8000 MO|KANSAS CITY ROYALS|7941
84125|174030076999|402-935-7733|MI|48335||US|PAYPAL *ROUSHPERFOR      402-935-7733 MI|PAYPAL *ROUSHPERFOR|5533
101600|520000410023|HEWLETT|NY|11557||USA|ZACHARY E GERUT MD FAC   HEWLETT      NY|ZACHARY E GERUT MD FAC|8011
101608|101001002956605|SAN DIEGO|CA|92121||US|La Jolla Plastic Surger  SAN DIEGO    CA|La Jolla Plastic Surger|8011
