row_id|at_merchantid|at_transactioncity|at_transactionstateprovince|at_transactionpostalcode1|at_transactionpostalcode2|at_transactioncountrycode|at_transactiondescription|at_transactiondescription2|at_mcccode
62||||||||  CHK ...4781 transaction#: |
179||||||||PRAXAIR               |
204||||||||JPMORGAN CHASE   |
276||||||||PACCAR PETERBILT |
287||||||||IRS              |
556||||||||GARCIA'S INCORPO |
582||||||||QUATRIS LLC            |
846||||||||Mercedes-Benz US      |
847||||||||PAYCHEX TPS      |
955||||||||IRS                   |
1004||||||||American Express |
1198||||||||EXPEDITOPER162        |
1227||||||||American Express |
1229||||||||COMPUPAY, INC    |
1269||||||||USAA.COM PAYMNT  |
1282|||||||| MMA ...4171 transaction#: 4|
1325||||||||American Express |
1372||||||||IRS              |
1374||||||||CAPITAL ONE      |
1376||||||||PAYCHEX INC.     |
1445||||||||DI/EFTPMT                 CC|
1490||||||||PAYCHEX INC.          |
1534||||||||  CHK ...3667 transaction#: |
1680||||||||ard ending in 2597|
1705||||||||ELI LILLY CO.         |
1781||||||||GeneseoACH       |
1897||||||||COULTER 2006 M        |
1917||||||||PAYCHEX-RCX           |
1923||||||||INST TRUST AA2        |
1927||||||||NYS TAX & FINANC |
2048||||||||CAPITAL ONE      |
2074||||||||GROUPON INC           |
2105||||||||Statoil Texas On      |
2157||||||||ADP TX/FINCL SVC      |
2240|||||||| MMA ...0114 transaction#: 4|
2336||||||||CHASE            |
2410||||||||PAYCOM           |
2467||||||||INTERACTIVE BROK |
2480||||||||01134 EMC METALS      |
2650||||||||ROBERT A STANGER       |
2767||||||||IRS              |
2779||||||||PAYCHEX INC.     |
2827||||||||SFGP/ASC CONTRAC      |
3078||||||||ORTENBERG,GREG L |
3109||||||||AAA MICHIGAN          |
3120||||||||OXYCHEM                |
3167||||||||FS AGRI-FINANCE       |
3245||||||||CARGILL, INCORPO      |
3272||||||||AMERICAN EXPRESS |
3282||||||||SPEEDPAY              |
3299||||||||PAYCHEX-HRS           |
3355||||||||CBrands, USA          |
3392|||||||| MMA ...4157 transaction#: 4|
3462||||||||BROSE NA USA          |
3524||||||||BESCWKLY*BESCAST      |
3702||||||||ZENPAYROLL       |
3705|||||||| 4971413879 To Ad.net (_####|
3768||||||||Trinity College  |
3786||||||||USAA ANNUITY          |
3871||||||||ADP TX/FINCL SVC |
3882||||||||CHEVRON PRODUCTS      |
3951|||||||| MMA ...0001 transaction#: 4|
3958||||||||JOHN HANCOCK NY  |
3967||||||||IRS                   |
4145||||||||MYA PENNSYLVANIA |
4181||||||||ard ending in 8084|
4197||||||||GROUPON INC           |
4314||||||||ard ending in 9740|
4343||||||||WEBFILE TAX PYMT |
4351||||||||RAYMOND JAMES &  |
4390||||||||ADP TX/FINCL SVC      |
4511||||||||PAYCHEX INC.          |
4611||||||||UBS FINSVC       |
4730||||||||ard ending in 9763|
4776||||||||ard ending in 1983|
4781||||||||American Express |
4923||||||||DISCOVERY BENEFI      |
4960||||||||Budweiser Busch        |
5010||||||||American Express |
5018|||||||| 4971406204 To Velcro USA, I|
5123||||||||CSI MODR TAX          |
5148||||||||PURDUE UNIV      |
5264||||||||FID BKG SVC LLC  |
5292||||||||NYC DEPT OF FIN  |
5398||||||||INTUIT PAYROLL S |
5476||||||||KWIK TRIP INC         |
5549||||||||EFBOARDOFEQUALIZ |
5576||||||||  CHK ...8524 transaction#: |
5590||||||||AMERICAN EXPRESS      |
5605|||||||| 4970520029 To GWEN TALBOT (|
5675||||||||ADP TX/FINCL SVC |
5710||||||||2261  MON MAR OP |
5823||||||||CHASE HHF 3174   |
5836||||||||IRS              |
6047||||||||JPMS             |
6063|||||||||
6069||||||||PAYCHEX - RCX         |
6070||||||||JPMORGANCHASE    |
6130|||||||| TO                 FIRST CO|
6173||||||||IRS              |
6313||||||||ADP TX/FINCL SVC |
6351||||||||ard ending in 1587|
6465||||||||ANNUITY DRAFT    |
6504||||||||BLOOMINGDALES    |
6541||||||||3043 MARANTEC AM |
6550||||||||TAX SERVICE 702       |
6553||||||||American Express |
6921||||||||UNITEDHEALTHCARE      |
6928||||||||Aircraft Wheels  |
6980||||||||ard ending in 1481|
6993||||||||PAYCHEX-RCX      |
7019|||||||| MMA ...2956 transaction#: 4|
7083||||||||IRS              |
7112||||||||ard ending in 3281|
7129||||||||OF FUNDS            AS REQUE|
7130||||||||UOP RUSSELL LLC       |
7266||||||||JPMORGANCHASE, I |
7285||||||||IRS              |
7392||||||||ard ending in 4727|
7414||||||||AMERICAN HONDA M |
7416||||||||ASU Student AR   |
7471||||||||OVERSEAS MARINE       |
7546||||||||PAYCHEX - RCX         |
7632||||||||GENERAL MOTORS   |
7671|||||||| MMA ...4582 transaction#: 4|
7821||||||||SATAXPYMT 227476566022382 CC|
7844||||||||Payroll          |
7906||||||||Zeno US               |
8291||||||||SAINT LOUIS U    |
8521||||||||ard ending in 3301|
8523|||||||| 4971386239 To Jim May Weldi|
8526||||||||PAYCHEX-RCX           |
8592||||||||PAYCHEX TPS      |
8779||||||||MAIN RR DONNELLE      |
8811||||||||ard ending in 3749|
8841||||||||CITI CARD ONLINE |
9201||||||||DALLAS           |
9248||||||||FLINT HILLS RESO       |
9264||||||||SIMPLIFILE LC          |
9345||||||||AMERICAN EXPRESS |
9370||||||||IRS              |
9687||||||||BILLTRUST             |
9705||||||||VETERANS AFFAIRS      |
9713||||||||OF FUNDS            AS REQUE|
9818||||||||IRS              |
9840||||||||IRS              |
9888||||||||PROGRESSIVE CASU      |
9891||||||||EPCO INC              |
9940||||||||TD AMERITRADE    |
9993||||||||COLUMBUS LIFE         |
10032|||||||| 4971079749 To Michael Wynte|
10046||||||||American Express |
10175||||||||TRUSMART ENERGY       |
10213||||||||PAYCHEX - RCX         |
10240||||||||TRUE NORTH ENERG      |
10339||||||||American Express |
10406||||||||JOHNSON MATTHEY       |
10441||||||||PSEG973-430-5440      |
10460||||||||AMERICAN HONDA M |
10475||||||||US POSTAL SERVIC      |
10595||||||||ICICI BANK  LIMI |
10631||||||||mbfs.com         |
10808||||||||  CHK ...1190 transaction#: |
10847||||||||NASH FINCH       |
10886||||||||PAYLOCITY CORPOR      |
11043|||||||| MMA ...2423 transaction#: 4|
11044||||||||IRS              |
11126||||||||FLINT HILLS RESO       |
11145|||||||| MMA ...5365 transaction#: 4|
11387||||||||ADP TX/FINCL SVC      |
11465||||||||ard ending in 9072|
11754||||||||American Express |
11755||||||||FORD MOTOR CO    |
11766||||||||American Express |
11812||||||||ard ending in 5299|
12055||||||||IRS              |
12071||||||||PSEG973-430-5440       |
12116||||||||PAYCHEX TPS           |
12146|||||||| 4970457210 To Rent (_######|
12158|||||||| MMA ...5183 transaction#: 4|
12176||||||||PHH MORTGAGE SVC      |
12441||||||||COUNTY OF KERN   |
12476||||||||ADP TX/FINCL SVC |
12488||||||||ard ending in 3207|
12542||||||||CTG LEASE             |
12603|||||||| 4971898391 To Ace (_######9|
12794|||||||| 4970811825 To WAKEFERN (_##|
12837||||||||EMPIRE NY CATALY      |
12910||||||||INTUIT PAYRULL9S |
12931||||||||UGA              |
12943||||||||US CBP                |
12961|||||||| MMA ...8249 transaction#: 4|
13006||||||||  CHK ...0143 transaction#: |
13126||||||||ard ending in 8426|
13340||||||||COWTOWN SIZZLE   |
13348||||||||DEALERTRUCKEQUIP      |
13533||||||||ABBOTT LABS            |
13664|||||||| 4970560766 To Gold Business|
13686||||||||ADP TX/FINCL SVC |
13727||||||||ard ending in 0146|
13739||||||||PAYCHEX INC.     |
13786||||||||ard ending in 8604|
13792||||||||MUT-L OF AMERICA      |
13793||||||||ard ending in 2973|
13902||||||||CITI CARD ONLINE |
13908||||||||WARNER BRO SOFTI      |
14054||||||||CHASE            |
14085||||||||TREASURY DIRECT  |
14113||||||||INTERACTIVE BROK |
14287||||||||RESOURCING EDGE  |
14292||||||||ZURICH AMERICAN       |
14298||||||||UNITEDHEALTHCARE      |
14353||||||||AU               |
14860||||||||FID BKG SVC LLC  |
14879||||||||TAX SERVICE 702       |
14975||||||||IRS              |
15005||||||||PAYCHEX TPS      |
15012||||||||SELECT PORTFOLIO       |
15025||||||||TX1624 KEANE LAN |
15143||||||||ANSFER TO ACCOUNT00000093252|
15168||||||||ard ending in 0819|
15176||||||||PAYCOR INC.      |
15212|||||||| MMA ...2863 transaction#: 4|
15373||||||||TRAVELERS/TRACER      |
15422||||||||CAPITAL ONE      |
15425||||||||Viacom Internati      |
15470||||||||PAYCHEX - RCX         |
15476||||||||ADP TX/FINCL SVC |
15512||||||||COVENANT TRANSP       |
15637||||||||HEALTH PMT SYS        |
15707||||||||WF HOME MTG      |
15737||||||||ard ending in 3905|
15773||||||||NYS LOTTERY      |
15780||||||||ADP TX/FINCL SVC |
15807|||||||| MMA ...7533 transaction#: 4|
15832||||||||LIBERTY MUTUAL   |
15912||||||||OF FUNDS            AS REQUE|
16028||||||||CITI CARD ONLINE |
16082||||||||SCHWAB BROKERAGE |
16180||||||||American Express |
16207||||||||ADP TX/FINCL SVC |
16293||||||||IRS                   |
16473||||||||CASTLE OIL       |
16497||||||||SPEEDPAY              |
16527||||||||TOYOTA                |
16568||||||||INTUIT PAYROLL S |
16592||||||||BAYLOR UNIV      |
16664|||||||| MMA ...1928 transaction#: 4|
16677||||||||BK OF AMER VI/MC |
16978||||||||TERRAPOINTE SERV      |
17056||||||||CAPITAL ONE      |
17156||||||||PAYCHEX INC.          |
17179||||||||VALIANT PAYROLL       |
17321||||||||SPEEDPAY              |
17347||||||||ard ending in 6250|
17349||||||||ard ending in 9791|
17364||||||||CHASE            |
17382||||||||GENERAL MOTORS   |
17391||||||||CITI CARD ONLINE |
17449||||||||CASS INFO. SHIP.      |
17478||||||||PAYCHEX TPS      |
17482||||||||ADP TX/FINCL SVC |
17549||||||||IRS              |
17580||||||||PORSCHE CARS NOR |
17586||||||||APPLIED CLIENT   |
17890||||||||IRS              |
17933||||||||ard ending in 6309|
17978||||||||ATLAS AIR             |
17989||||||||SOUTHEAST TOYOTA |
18085||||||||ard ending in 4552|
18099||||||||Conill Advertisi      |
18290||||||||TD AMERITRADE    |
18570||||||||OF FUNDS            FROM 000|
18733||||||||US CBP                |
18806||||||||FIA ONLINE PYMT  |
18838||||||||THOMSGFF              |
18847||||||||IL DEPT OF REVEN |
19019||||||||CITY OF NY DOF   |
19060||||||||INTUIT PAYROLL S |
19152||||||||AHOLA PR  000000T0246990  CC|
19203||||||||American Express |
19327||||||||USAA.COM PAYMNT  |
19466||||||||EFBOARDOFEQUALIZ |
19490||||||||ANSFER TO ACCOUNT00000070810|
19498||||||||American Express |
19675||||||||Nationstar       |
19788||||||||GM CARD SRVCS    |
19798||||||||SCHWAB BROKERAGE |
19812||||||||WELLS FARGO BANK |
19818||||||||O.P.P.D.              |
19819||||||||SMALL BUSINESS   |
19893||||||||CROWN IMPORTS LL       |
20090||||||||VGI-TAX-EX MM    |
20103||||||||ard ending in 3214|
20114||||||||INSURE SECURE IN |
20183||||||||CHASE            |
20213||||||||E*TRADE BANK     |
20236||||||||PURDUE PHARMACEU      |
20354||||||||PAYCHEX INC.     |
20410|||||||| 4971590333 To Eagle (_#####|
20422||||||||COMDATA PAYMENTS |
20496||||||||American Express |
20509|||||||| MMA ...9777 transaction#: 4|
20542||||||||CAPITAL ONE      |
20647||||||||American Express |
20919||||||||OASISINVBATCH    |
20974||||||||GAVILON GROUP         |
20999||||||||American Express |
21004||||||||USDA RD GLS      |
21098||||||||E*TRADE          |
21152||||||||CAPITAL ONE      |
21527||||||||ADP TX/FINCL SVC |
21643||||||||SUBARUOFAMERICA  |
21651||||||||US POSTAL SERVIC      |
21890||||||||ADP TX/FINCL SVC |
21892||||||||WI DEPT REVENUE  |
22140|||||||| 4969617721 To Girish (_####|
22187|||||||| 4970582006 To 3SBussiness (|
22230||||||||BENEFIT RESOURCE       |
22265||||||||IRS              |
22389||||||||RRACKI R RACK IN |
22457|||||||| MMA ...3650 transaction#: 4|
22769||||||||NYS TAX & FINANC |
22806|||||||| MMA ...8926 transaction#: 4|
22901||||||||JPMORGANCHASE    |
22931||||||||PAYCOR INC.      |
22939||||||||PAYCOR INC.           |
22982||||||||CHASE            |
23012||||||||TANNENBAUM,BRIAN |
23039|||||||| 4970704798 To Steffens Tech|
23043||||||||CONCUR           |
23186||||||||SSL CNT TRST FRG      |
23201||||||||RAYMOND JAMES AS      |
23208||||||||GENESCO INC           |
23382||||||||NEXTGEAR PAYMENT |
23468||||||||IRS              |
23493||||||||ZENPAYROLL       |
23579||||||||ADP TX/FINCL SVC |
23587||||||||IRS              |
23924||||||||ADP TX/FINCL SVC |
23933||||||||CPORTLLC              |
23979||||||||ard ending in 0346|
23993||||||||ADP TX/FINCL SVC |
24005||||||||ANSFER TO ACCOUNT00000064439|
24036||||||||ADP TX/FINCL SVC |
24068||||||||IRS              |
24074||||||||HILTON HOTELS CO      |
24134||||||||ard ending in 3657|
24184||||||||CITY OF ARLINGTO      |
24214||||||||CONSUMERS ENERGY      |
24257||||||||GULF SHIP LLC         |
24353||||||||American Express |
24429|||||||| 4970742842 To JBS (_#######|
24594||||||||BOSEISO                |
24606||||||||WVTREASURY            |
24616||||||||American Express |
24721||||||||CONAGRA FOODS         |
24740||||||||WELLS FARGO BANK |
24814||||||||BENEDICTINE COLL |
24875||||||||TESORO COMPANIES |
24927||||||||HNSR CLAIMS ACH       |
24976||||||||ADP TX/FINCL SVC      |
25015||||||||PAYCHEX - RCX    |
25111|||||||| MMA ...7915 transaction#: 4|
25208||||||||ANSFER TO ACCOUNT00000211492|
25336||||||||ard ending in 8748|
25375||||||||American Express |
25391||||||||ard ending in 6047|
25394|||||||| 4971283445 To Amalia Diaz (|
25452||||||||PAYCHEX TPS      |
25481||||||||WAL-MART ASSOCS       |
25615||||||||OF FUNDS            AS REQUE|
25635|||||||| 4971717665 To Jenny (_#####|
25796||||||||ANSFER TO ACCOUNT00000064451|
25846||||||||NYCDCC BENEFITS  |
25974||||||||FIA ONLINE PYMT  |
26037||||||||STATE OF LOUISIA |
26054||||||||New York State   |
26071||||||||ADP TX/FINCL SVC |
26198||||||||ard ending in 1888|
26319||||||||MSS Delaware, In      |
26372||||||||NATIONAL FOOD GR       |
26399||||||||ADP TX/FINCL SVC |
26408||||||||MASTERCARD INTL       |
26454||||||||IRS              |
26483||||||||ADP TX/FINCL SVC |
26494||||||||American Express |
26573|||||||| 4971138017 To Bonafide Esta|
26574||||||||IRS              |
26624||||||||LA Co TTC Paymnt |
26698||||||||IRS              |
26714||||||||JPMORGAN CHASE   |
26734||||||||ANSFER TO ACCOUNT00000083738|
26872||||||||IRS              |
26904||||||||MJ330NORDLIE FLO      |
27003||||||||IL DEPT OF REVEN |
27034||||||||SCOTTRADE        |
27043||||||||US BANK HOME MTG |
27083||||||||TD AMERITRADE    |
27096|||||||| MMA ...8493 transaction#: 4|
27196||||||||ard ending in 1711|
27272||||||||THE REINALT-THOM      |
27283||||||||INTUIT PAYROLL S |
27302||||||||ard ending in 4918|
27340||||||||ADP TX/FINCL SVC |
27444||||||||STATE OF LOUISIA      |
27470||||||||TARGA RES 4594        |
