row_id|at_merchantid|at_transactioncity|at_transactionstateprovince|at_transactionpostalcode1|at_transactionpostalcode2|at_transactioncountrycode|card_acpt_merchant_name|at_transactiondescription|at_transactiondescription2|at_mcccode
965|0003455578158820000|HOUSTON|TX|77043.0||US|TEXAS FORTUNES|1219TEXAS FORTUNES 713-777-1000 TX       0XXXXXXXXXXXXXXXX|TEXAS FORTUNES|5945.0
6479|8001428526     0000|SAN DIEGO|CA|92154.0||US|BIKEBANDIT COM|1207BIKEBANDIT COM 858-3843177 CA        0XXXXXXXXXXXXXXXX|BIKEBANDIT COM|5571.0
8761|0004248780908870000|TROY|MI|48084.0||US|LOUIS VUITTON  #25|1222LOUIS VUITTON  #25 TROY MI           0XXXXXXXXXXXXXXXX|LVNA|5631.0
9407|4445090821686  0000|ORANGE|CA|92868.0||US|OFF FIFTH #0312|1206OFF FIFTH #0312 ORANGE CA            0XXXXXXXXXXXXXXXX|OFF FIFTH #0312|5311.0
10229|8019348468     0000|MIAMI|FL|33142.0||US|JGA BEACON FL 864|1210JGA BEACON FL 864 MIAMI FL           0XXXXXXXXXXXXXXXX|JGA BEACON FL 864|5211.0
11935|0000050146931460000|GROVEPORT|OH|43123.0||US|PIPERLIME ONLINE|1215PIPERLIME ONLINE 614-564-2000 OH     0XXXXXXXXXXXXXXXX|PIPERLIME USA|5964.0
12791||CHICAGO|IL|||US|MACY'S    111 NORTH ST|1222MACY'S    111 NORTH ST CHICAGO IL    0XXXXXXXXXXXXXXXX|MACY'S    111 NORTH ST|5311.0
14138||ROCKFORD|IL|||US|SCHNUCKS #754|1210SCHNUCKS #754 ROCKFORD IL            0XXXXXXXXXXXXXXXX|SCHNUCKS #754|5411.0
15018||STREAMWOOD|IL|||US|SAMS CLUB SAM'S Club|1223SAMSCLUB #8148 STREAMWOOD IL         0XXXXXXXXXXXXXXXX|SAMSCLUB #8148|5300.0
26640|1912580001830290000|800-967-9649|OH|43206.0||US|FSI*GRANGE INSURANCE|1216FSI*GRANGE INSURANCE 800-967-9649 OH 0XXXXXXXXXXXXXXXX|FSI*GRANGE INSURANCE|5960.0
29432|2454360001830290000|866-405-1924|NY|10003.0||US|FSI*CONED BILL PAYMENT|1211FSI*CONED BILL PAYMEN 866-405-1924 NY0XXXXXXXXXXXXXXXX|FSI*CONED BILL PAYMENT|4900.0
30330|USPS 03889207380000|TUCSON|AZ|||US|USPS 0388920738/7959 N|1208USPS 0388920738/7959 N TUCSON AZ     0XXXXXXXXXXXXXXXX           Purchase $0.62 Cash Back $1403.30|USPS 0388920738/7959 N|9402.0
32303|7454220004977840000|479-785-6411|AR|72917.0||US|ABF*TRANSPORTATION SVC|1212ABF*TRANSPORTATION SV 479-785-6411 AR0XXXXXXXXXXXXXXXX|ABF*TRANSPORTATION SVC|5969.0
32909|0004962051938810000|MIAMI|FL|33166.0||US|ALL PET SUPPLY USA|1217ALL PET SUPPLY USA 866-702-5997 FL   0XXXXXXXXXXXXXXXX|ALL PET SUPPLY USA|5995.0
