keywords,store_number,store_name,address,city,state,zip_code,phone_number,fax_number,store_hours,pharmacy_number,pharmacy_hours,latitude,longitude
Publix,3403,Publix at Kings Ridge Convenience Store,4311 S Highway 27,Clermont,FL,34711,(352) 241-9849,(352) 243-2684,"Sun 5:00 AM - 11:00 PM, Mon 5:00 AM - 11:00 PM, Tues 5:00 AM - 11:00 PM, Wed 5:00 AM - 11:00 PM, Thurs 5:00 AM - 11:00 PM, Fri 5:00 AM - 11:00 PM, Sat 5:00 AM - 11:00 PM,",,,28.500177,-81.718089
Publix,4,Mulberry Grove Plaza Shopping Center,8780 SE 165th Mulberry Ln,The Villages,FL,32162-5861,(352) 751-0301,,"Sun 7:00 AM - 9:00 PM, Mon 7:00 AM - 9:00 PM, Tues 7:00 AM - 9:00 PM, Wed 7:00 AM - 9:00 PM, Thurs 7:00 AM - 9:00 PM, Fri 7:00 AM - 9:00 PM, Sat 7:00 AM - 9:00 PM,",(352) 751-0304,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 11:00 AM - 6:00 PM",28.98038,-82.007513
Publix,6,Shoppes at New Tampa,1920 County Road 581,Wesley Chapel,FL,33544-9262,(813) 994-4566,,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",(813) 994-4242,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 11:00 AM - 6:00 PM",28.18379,-82.353494
Publix,10,Flagler Park Plaza,8341 W Flagler St,Miami,FL,33144-2029,(305) 266-0713,(305) 266-2155,"Sun 7:00 AM - 11:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",(305) 266-2057,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 10:00 AM - 5:00 PM",25.7699133,-80.3305163
Publix,11,Grove Park Shopping Center,1617 US Highway 98 S,Lakeland,FL,33801-6585,(863) 682-0131,(863) 686-1462,"Sun 7:00 AM - 9:00 PM, Mon 7:00 AM - 9:00 PM, Tues 7:00 AM - 9:00 PM, Wed 7:00 AM - 9:00 PM, Thurs 7:00 AM - 9:00 PM, Fri 7:00 AM - 9:00 PM, Sat 7:00 AM - 9:00 PM,",,,28.0255401,-81.9267769
Publix,12,Pembroke Commons,600 N University Dr,Pembroke Pines,FL,33024-6731,(954) 433-4400,,"Sun 7:00 AM - 11:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",(954) 433-4408,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 10:00 AM - 5:00 PM",26.0139927,-80.2484481
Publix,15,Citrus Tower Village,250 Citrus Tower Blvd,Clermont,FL,34711-2790,(352) 241-6670,,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",(352) 241-6676,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 11:00 AM - 6:00 PM",28.5649485,-81.7415305
Publix,17,Kennerly Crossing,7320 Broad River Rd,Irmo,SC,29063-9656,(803) 407-0127,(803) 407-0688,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",(803) 407-0436,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 12:00 PM - 7:00 PM",34.09684,-81.15767
Publix,19,Duval Station Centre,731 Duval Station Rd Ste 4,Jacksonville,FL,32218-0804,(904) 696-3093,,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 10:00 PM, Tues 7:00 AM - 10:00 PM, Wed 7:00 AM - 10:00 PM, Thurs 7:00 AM - 10:00 PM, Fri 7:00 AM - 10:00 PM, Sat 7:00 AM - 10:00 PM,",(904) 696-3363,"Mon thru Fri 9:00 AM - 9:00 PM, Sat 9:00 AM - 7:00 PM, Sun 11:00 AM - 6:00 PM",30.4851925,-81.604532
Publix,21,Publix at Glade Crossing,2465 Glades Cir,Weston,FL,33327-2204,(954) 217-0022,,"Sun 7:00 AM - 10:00 PM, Mon 7:00 AM - 11:00 PM, Tues 7:00 AM - 11:00 PM, Wed 7:00 AM - 11:00 PM, Thurs 7:00 AM - 11:00 PM, Fri 7:00 AM - 11:00 PM, Sat 7:00 AM - 11:00 PM,",(954) 217-9471,"Mon thru Fri 9:00 AM - 8:00 PM, Sat 9:00 AM - 6:00 PM, Sun 11:00 AM - 5:00 PM",26.1389905,-80.42071
