keywords,store_number_short,store_number,address,city,state,zip_code,phone_number,store_hours,store_name,pharmacy_phone_number,pharmacy_hours,clinic,optical,apple_kiosk,target_mobile,fresh_grocery,latitude,longitude
Target,3,T0003 0003,5537 W Broadway Ave,Crystal,MN,55428-3507,(763) 533-2231,M-Fr: 8:00 a.m.- 10:00 p.m. Sa: 8:00 a.m. - 10:00 p.m. Su: 8:00 a.m.- 9:00 p.m.,Crystal Now with Fresh Grocery,(763) 533-1651,M-Fr: 8:00 a.m. - 10:00 p.m. Sa: 9:00 a.m. - 6:00 p.m. Su: 9:00 a.m. - 6:00 p.m.,,,,Target Mobile,Fresh Grocery,45.052732,-93.365555
Target,4,T0004 0004,1902 Miller Trunk Hwy,Duluth,MN,55811-1810,(218) 727-8851,M-Fr: 8:00 a.m.- 11:00 p.m. Sa: 8:00 a.m. - 11:00 p.m. Su: 8:00 a.m.- 10:00 p.m.,Duluth Now with Fresh Grocery,(218) 727-8475,M-Fr: 9:00 a.m. - 9:00 p.m. Sa: 9:00 a.m. - 6:00 p.m. Su: 9:00 a.m. - 6:00 p.m.,,,,Target Mobile,Fresh Grocery,46.808391,-92.16745
Target,5,T0005 0005,2555 W 79th St,Bloomington,MN,55431-1250,(952) 888-7701,M-Fr: 8:00 a.m.- 11:00 p.m. Sa: 8:00 a.m. - 11:00 p.m. Su: 8:00 a.m.- 10:00 p.m.,Bloomington Now with Fresh Grocery,(952) 888-4677,M-Fr: 9:00 a.m. - 9:00 p.m. Sa: 9:00 a.m. - 6:00 p.m. Su: 9:00 a.m. - 6:00 p.m.,,,,Target Mobile,Fresh Grocery,44.860029,-93.311579
Target,12,T0012 0012,12275 Saint Charles Rock Rd,Bridgeton,MO,63044-2502,(314) 291-0600,M-Fr: 8:00 a.m.- 10:00 p.m. Sa: 8:00 a.m. - 10:00 p.m. Su: 8:00 a.m.- 9:00 p.m.,Bridgeton Now with Fresh Grocery,,,,,,Target Mobile,Fresh Grocery,38.754066,-90.426423
Target,13,T0013 0013,13131 Montfort Dr,Dallas,TX,75240-5112,(972) 239-8161,M-Fr: 8:00 a.m.- 10:00 p.m. Sa: 8:00 a.m. - 10:00 p.m. Su: 8:00 a.m.- 9:00 p.m.,North Dallas Now with Fresh Grocery,(972) 490-3951,M-Fr: 9:00 a.m. - 7:00 p.m. Sa: 9:00 a.m. - 5:00 p.m. Su: 11:00 a.m. - 5:00 p.m.,,,,,Fresh Grocery,32.92778,-96.813082
Target,19,T0019 0019,1701 S Yale Ave,Tulsa,OK,74112-6221,(918) 744-1701,M-Fr: 8:00 a.m.- 10:00 p.m. Sa: 8:00 a.m. - 10:00 p.m. Su: 8:00 a.m.- 9:00 p.m.,Tulsa Now with Fresh Grocery,(918) 293-0196,M-Fr: 9:00 a.m. - 7:00 p.m. Sa: 9:00 a.m. - 5:00 p.m. Su: 11:00 a.m. - 5:00 p.m.,,,,Target Mobile,Fresh Grocery,36.137272,-95.920397
Target,24,T0024 0024,4777 S 27th St,Greenfield,WI,53221-2601,(414) 282-1000,M-Fr: 8:00 a.m.- 10:00 p.m. Sa: 8:00 a.m. - 10:00 p.m. Su: 8:00 a.m.- 9:00 p.m.,Greenfield Now with Fresh Grocery,(414) 282-0634,M-Fr: 9:00 a.m. - 7:00 p.m. Sa: 9:00 a.m. - 5:00 p.m. Su: 11:00 a.m. - 5:00 p.m.,,,,Target Mobile,Fresh Grocery,42.957411,-87.951424
Target,26,T0026 0026,15025 Manchester Rd,Ballwin,MO,63011-4626,(636) 391-7500,M-Fr: 8:00 a.m.- 10:00 p.m. Sa: 8:00 a.m. - 10:00 p.m. Su: 8:00 a.m.- 9:00 p.m.,Ballwin Now with Fresh Grocery,(636) 227-9436,M-Fr: 9:00 a.m. - 7:00 p.m. Sa: 9:00 a.m. - 5:00 p.m. Su: 11:00 a.m. - 5:00 p.m.,,,,Target Mobile,Fresh Grocery,38.594512,-90.547463
Target,43,T0043 0043,5400 N May Ave,Oklahoma City,OK,73112-5407,(405) 947-6761,M-Fr: 8:00 a.m.- 11:00 p.m. Sa: 8:00 a.m. - 11:00 p.m. Su: 8:00 a.m.- 10:00 p.m.,Oklahoma City North Now with Fresh Grocery,(405) 945-8375,M-Fr: 9:00 a.m. - 7:00 p.m. Sa: 9:00 a.m. - 5:00 p.m. Su: 11:00 a.m. - 5:00 p.m.,,,,Target Mobile,Fresh Grocery,35.524408,-97.564417
Target,44,T0044 0044,800 SW 44th St,Oklahoma City,OK,73109-3424,(405) 631-4411,M-Fr: 8:00 a.m.- 10:00 p.m. Sa: 8:00 a.m. - 10:00 p.m. Su: 8:00 a.m.- 9:00 p.m.,Oklahoma City South Now with Fresh Grocery,(405) 632-4964,M-Fr: 9:00 a.m. - 7:00 p.m. Sa: 9:00 a.m. - 5:00 p.m. Su: 11:00 a.m. - 5:00 p.m.,,,,,Fresh Grocery,35.419441,-97.528794
Target,48,T0048 0048,7899 Wadsworth Blvd,Arvada,CO,80003-2107,(303) 425-0124,M-Fr: 8:00 a.m.- 10:00 p.m. Sa: 8:00 a.m. - 10:00 p.m. Su: 8:00 a.m.- 9:00 p.m.,Arvada Now with Fresh Grocery,(303) 425-8722,M-Fr: 9:00 a.m. - 9:00 p.m. Sa: 9:00 a.m. - 6:00 p.m. Su: 9:00 a.m. - 6:00 p.m.,,,,Target Mobile,Fresh Grocery,39.840209,-105.085028
Target,52,T0052 0052,2500 E Lake St,Minneapolis,MN,55406-1909,(612) 721-5701,M-Fr: 8:00 a.m.- 11:00 p.m. Sa: 8:00 a.m. - 11:00 p.m. Su: 8:00 a.m.- 10:00 p.m.,Lake Street Now with Fresh Grocery,(612) 721-1611,M-Fr: 9:00 a.m. - 9:00 p.m. Sa: 9:00 a.m. - 6:00 p.m. Su: 9:00 a.m. - 6:00 p.m.,,,,Target Mobile,Fresh Grocery,44.949951,-93.236742
