Store Number,Address,City,State,Zip Code,Phone Number
1, 1515 WEST COUNTY RD_B,ROSEVILLE,MN,55113,(651) 631−0330 0551
2, 8900 HIGHWAY 7,ST. LOUIS PARK,MN,55426,(952) 935−6941 0551
3, 5537 WEST BROADWAY,CRYSTAL,MN,55428,(763) 533−2231 0551
4, 1902 MILLER TRUNK HIGHWAY,DULUTH,MN,55811,(218) 727−8851 0551
5, 2555 WEST 79 STREET,BLOOMINGTON,MN,55431,(952) 888−7701 0551
6, 4301 VIRGINIA AVE,GLENDALE,CO,80222,(303) 399−0890 0554
7, 1655 OWENS STREET,LAKEWOOD,CO,80215,(303) 238−7551 0554
8, 755 53RD AVENUE NE,FRIDLEY,MN,55421,(763) 571−9361 0551
9, 1776 SOUTH ROBERTS ST,WEST ST. PAUL,MN,55118,(651) 455−6671 0551
11, 5252 LINDBERGH BLVD SO,ST LOUIS,MO,63126,(314) 842−2000 0552
12, 12275 ST CHARLES ROCK RD.,BRIDGETON,MO,63044,(314) 291−0600 0552
13, 13131 MONTFORT DRIVE,DALLAS,TX,75240,(972) 239−8161 0578
14, 1122 W CENTERVILLE RD,GARLAND,TX,75041,(972) 279−6711 0578
16, 7051 SOUTHWEST FREEWAY,HOUSTON,TX,77074,(713) 771−8321 0578
17, 9429 KATY FREEWAY,HOUSTON,TX,77024,(281) 464−9461 0578
18, 335 NO ACADEMY BLVD,COLORADO SPRINGS,CO,80909,(719) 596−6220 0554
19, 1701 SOUTH YALE,TULSA,OK,74112,(918) 744−1701 0552
21, 10000 KLECKLEY STREET,HOUSTON,TX,77075,(713) 941−3800 0578
24, 4777 SOUTH 27TH STREET,GREENFIELD,WI,53221,(414) 282−1000 0557
25, 3900 NORTH 124TH ST,WAUWATOSA,WI,53222,(414) 466−8400 0557
26, 15025 MANCHESTER ROAD,BALLWIN,MO,63011,(636) 391−7500 0552
29, 2309 EUCLID AVENUE,DES MOINES,IA,50310,(515) 274−4711 0557
33, 4501 FIRST AVENUE SE,CEDAR RAPIDS,IA,52402,(319) 393−9500 0557
36, 360 N. SADDLE CREEK RD,OMAHA,NE,68131,(402) 553−8611 0554
40, 10301 NORTH WASHINGTON,THORNTON,CO,80229,(303) 452−4500 0554
41, 2155 S SHERIDAN BLVD,DENVER,CO,80227,(303) 986−2261 0554
43, 5400 NORTH MAY AVENUE,OKLAHOMA CITY,OK,73112,(405) 947−6761 0552
44, 800 SW 44TH STREET,OKLAHOMA CITY,OK,73109,(405) 631−4411 0552
45, 7601 EAST RENO,MIDWEST CITY,OK,73110,(405) 737−8911 0552
46, 2417 WEST MAIN STREET,NORMAN,OK,73069,(405) 329−7400 0552
47, 7000 YORK AVENUE SOUTH,EDINA,MN,55435,(952) 925−4610 0551
48, 7899 WADSWORTH BLVD,ARVADA,CO,80003,(303) 425−0124 0554
49, 1200 SOUTH ABILENE ST,AURORA,CO,80012,(303) 751−7900 0554
50, 2600 SOUTH 108 STREET,WEST ALLIS,WI,53227,(414) 545−8000 0557
51, 4255 HAMPTON AVENUE,ST LOUIS,MO,63109,(314) 481−9100 0552
52, 2500 EAST LAKE STREET,MINNEAPOLIS,MN,55406,(612) 721−5701 0551
53, 4701 FM 1960 WEST,HOUSTON,TX,77069,(281) 444−0600 0578
55, 212 MEDALLION CENTER,DALLAS,TX,75214,(214) 361−2026 0578
56, 810 WEST COUNTY ROAD 42,BURNSVILLE,MN,55337,(952) 435−8611 0551
57, 8501 W BROWN DEER RD,MILWAUKEE,WI,53224,(414) 355−6000 0557
59, 12990 WEST CENTER ROAD,OMAHA,NE,68144,(402) 334−5940 0554
60, 10040 NEW F.M.1960,HUMBLE,TX,77338,(281) 446−1181 0578
61, 4202 13TH AVE SOUTH,FARGO,ND,58103,(701) 282−7400 0551
62, 2800 COLUMBIA ROAD S.,GRAND FORKS,ND,58201,0551
63, 7178 SOUTH MEMORIAL DR,TULSA,OK,74133,(918) 252−1621 0552
64, 2800 PEARL STREET,BOULDER,CO,80301,(303) 449−3400 0554
65, 10785 LINCOLN TRAIL,FAIRVIEW HEIGHTS,IL,62208,(618) 398−7300 0552
67, 120 WEST PARKER ROAD,PLANO,TX,75075,(972) 424−9575 0578
68, 1744 SUBURBAN AVENUE,ST. PAUL,MN,55106,(651) 778−1188 0557
69, 1800 35TH STREET,WEST DES MOINES,IA,50266,(515) 225−3784 0557
71, 5020 SOUTH HULEN ST.,FORT WORTH,TX,76132,0578
