DATE,USERID,DESCRIPTION,PERSISTENTRECORDID,IS PHYSICAL TRANSACTION
,1,76                  MENLO PARK      CAUS,75298,1
,1,A & S 76        710 WILLOW RD          MENLO PARK   CAUS,75298,1
,1,BALOMPIE CAFE RESTA SAN FRANCISCO   CAUS,1390903,1
,1,THE WILLOWS MAR 60 MIDDLEFIELD RD.     MENLO PARK   CAUS,2252707,1
,2,CHECKCARD 0106 HANA SUSHI TOGO SANTA CLARA CA 24122473007900013100140,6140512,1
,1,JAMBA JUICE #45     REDWOOD CITY    CAUS,7087642,1
,1,LA HACIENDA MAR 1933 MENALTO AVE       MENLO PARK   CAUS,7762696,1
,1,LA HACIENDA MARKET  MENLO PARK      CAUS,7762696,1
,2,CHECKCARD 0108 SUNNYVALE OPTOMETRY SUNNYVALE CA 24755423008170087218412,12950964,1
,1,WILLOW COVE GAS 500 WILLOW RD.         MENLO PARK   CAUS,20517772,1
,1,ARAMARK SHORELINE A MOUNTAIN VIEW   CAUS,39693831,1
,1,2 ARMADILLO WILLYS  LOS ALTOS       CAUS,41140875,1
,1,EL RANCHO MARKET       MENLO PARK   CAUS,41143693,1
,1,PALO ALTO CREAMERY  PALO ALTO       CAUS,41159931,1
,1,ATM Withdrawal BENDERS BAR     806 S VAN NESS AVE     SAN FRAN     CAUS,41532290,1
,1,THRIFT TOWN #3         SAN FRANCISCOCAUS,41532826,1
,1,HERBIVORE           SAN FRANCISCO   CAUS,41544494,1
,2,CHECKCARD 0114 IHOP 1719 BELMONT CA 24692163015000734926746,41815250,1
,1,JACK IN THE BOX 347 MENLO PARK      CAUS,41823601,1
,1,NOB HILL  #628         REDWOOD CITY CAUS,90367682,1
,1,PIZZA MY HEART      REDWOOD CITY    CAUS,145188028,1
,1,KAISER 02090371 1150 VETERANS BLVD     REDWOOD CITY CAUS,152854996,1
,1,TANDOORI OVEN       PALO ALTO       CAUS,683648512,1
,2,CHECKCARD 0119 AMC CUPERTINO 01004241 CUPERTINO CA 24164073020931411422992,685301404,1
,1,DONUT DELITE        MENLO PARK      CAUS,689438304,1
,1,CAFE ZOE            MENLO PARK      CAUS,690535774,1
,2,CHECKCARD 0121 GREEN PAPAYA RESTAURANT SAN FRANCISCOCA...,691138522,1
,2,CHECKCARD 0117 LA CORNETA SAN CARLOS CA 24431063018838000046326,694467142,1
,1,MENLO BBQ           MENLO PARK      CAUS,694799829,1
,1,CREPEVINE PALO ALT PALO ALTO       CAUS,698562684,1
,2,CHECKCARD 0109 DA KINE ISLAND GRILL SUNNYVALE CA 24492153010401438005647,702283497,1
,2,VITAMIN SHOPPE 02/12 #000561992 PURCHASE 126 EAST EL CAMIN SUNNYVALE CA,703866267,1
,2,VITAMIN SHOPPE 03/02 #000687070 PURCHASE 126 EAST EL CAMIN SUNNYVALE CA,703866267,1
,2,VITAMIN SHOPPE 03/19 #000450165 PURCHASE 126 EAST EL CAMIN SUNNYVALE CA,703866267,1
,2,VITAMIN SHOPPE 04/03 #000142881 PURCHASE 126 EAST EL CAMIN SUNNYVALE CA,703866267,1
,2,VITAMIN SHOPPE 04/29 #000075274 PURCHASE 126 EAST EL CAMIN SUNNYVALE CA,703866267,1
,2,VITAMIN SHOPPE 05/16 #000890974 PURCHASE 126 EAST EL CAMIN SUNNYVALE CA,703866267,1
,2,VITAMIN SHOPPE 05/28 #000015137 PURCHASE 126 EAST EL CAMIN SUNNYVALE CA,703866267,1
,2,VITAMIN SHOPPE 06/06 #000487553 PURCHASE 126 EAST EL CAMIN SUNNYVALE CA,703866267,1
,2,VITAMIN SHOPPE 06/11 #000520277 PURCHASE 126 EAST EL CAMIN SUNNYVALE CA,703866267,1
,1,TARGET T0321 REDWOOD CIREDWOOD CITY CAUS,704394130,1
,1,SAFEWAY STORE   525 El Camino Real     Menlo Park   CAUS,704394458,1
,1,IN-N-OUT BURGER #12 MOUNTAIN VIEW   CAUS,704446631,1
,1,CLEO'S BRAZILLIAN S SAN BRUNO       CAUS,708374304,1
,1,SUBWAY        00521 MENLO PARK      CAUS,714112917,1
,1,UMAMI PALO ALTO     PALO ALTO       CAUS,715836323,1
,2,Check 422,,0
,2,Check 423,,0
,2,Check 424,,0
,2,Check 425,,0
,2,Check 426,,0
,2,Check 427,,0
,2,Check 428,,0
,2,Check 429,,0
,2,Check 430,,0
,2,Check 431,,0
,2,Check 432,,0
,2,Check 434,,0
,2,Check 435,,0
,2,Check 436,,0
,2,Check 438,,0
,2,Check 439,,0
,2,Check 440,,0
,2,Check 441,,0
,2,Check 442,,0
,2,Check 443,,0
,2,CHECKCARD 0106 Amazon Digital Svcs 866-216-1072 WA...,,0
,2,CHECKCARD 0109 ESURANCE CAR INSURANCE 800-378-7262 CA...,,0
,2,CHECKCARD 0111 Amazon.com AMZN.COM/BILLWA...,,0
,2,CHECKCARD 0111 Amazon.com AMZN.COM/BILLWA...,,0
,2,CHECKCARD 0111 WEBFACTION 44845862031 74244693011301381889502,,0
,2,CHECKCARD 0111 WEBFACTION 44845862031 74244693011301381889502 INTERNATIONAL...,,0
,2,CHECKCARD 0118 Amazon.com AMZN.COM/BILLWA...,,0
,2,CHECKCARD 0123 Amazon Services-Kindle 866-321-8851 WA...,,0
,2,CHECKCARD 0123 Amazon Services-Kindle 866-321-8851 WA...,,0
,2,CHECKCARD 0129 Amazon.com AMZN.COM/BILLWA...,,0
,2,CHECKCARD 0205 EXPEDIA*154266503711 800-367-3476 NV...,,0
,2,CHECKCARD 0205 GETAROOM.COM 800-468-3578 TX 24692163036000498481008,,0
,2,CHECKCARD 0207 Amazon Services-Kindle 866-321-8851 WA...,,0
,2,CHECKCARD 0209 ESURANCE CAR INSURANCE 800-378-7262 CA...,,0
,2,CHECKCARD 0213 PLAYSTATION NETWORK 877-971-7669 CA...,,0
,2,CHECKCARD 0220 PLAYSTATION NETWORK 877-971-7669 CA...,,0
,2,CHECKCARD 0228 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...,,0
,2,CHECKCARD 0228 PLAYSTATION NETWORK 877-971-7669 CA...,,0
,2,CHECKCARD 0301 WEBFACTION 44845862031 74244693060308925800143,,0
,2,CHECKCARD 0301 WEBFACTION 44845862031 74244693060308925800143 INTERNATIONAL...,,0
,2,CHECKCARD 0302 Amazon Services-Kindle 866-321-8851 WA...,,0
,2,CHECKCARD 0305 Amazon Video On Demand 866-216-1072 WA...,,0
,2,CHECKCARD 0309 ESURANCE CAR INSURANCE 800-378-7262 CA...,,0
,2,CHECKCARD 0315 BLIZZARD ENT*ONL STORE 800-592-5499 CA...,,0
,2,CHECKCARD 0315 INTUIT *TURBOTAX 800-446-8848 CA...,,0
,2,CHECKCARD 0317 Amazon Video On Demand 866-216-1072 WA...,,0
,2,"CHECKCARD 0321 24HOUR FITNESS USA,INC 800-432-6348 CA...",,0
,2,CHECKCARD 0328 PLAYSTATION NETWORK 877-971-7669 CA...,,0
,2,CHECKCARD 0328 PLAYSTATION NETWORK 877-971-7669 CA...,,0
,2,CHECKCARD 0329 24 HOUR FITNESS SUNNYVALE CA 24692163089000252203404,,0
,2,CHECKCARD 0329 Amazon Video On Demand 866-216-1072 WA...,,0
,2,CHECKCARD 0329 Amazon Video On Demand 866-216-1072 WA...,,0
,2,CHECKCARD 0401 WEBFACTION 44845862031 74198813091312419266723,,0
,2,CHECKCARD 0401 WEBFACTION 44845862031 74198813091312419266723 INTERNATIONAL...,,0
,2,CHECKCARD 0404 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...,,0
,2,CHECKCARD 0408 Amazon Services-Kindle 866-216-1072 WA...,,0
,2,CHECKCARD 0409 ESURANCE CAR INSURANCE 800-378-7262 CA...,,0
,2,CHECKCARD 0417 24 HOUR FITNESS SUNNYVALE CA 24692163108000895781201,,0
,2,"CHECKCARD 0420 24HOUR FITNESS USA,INC 800-432-6348 CA...",,0
,2,CHECKCARD 0425 AT&T TLG GLF 800-331-0500 GA 24493983115003166962834 RECURRING,,0
,2,CHECKCARD 0524 AT&T TLG GLF 800-331-0500 GA 24493983144003132473283 RECURRING,,0
,2,CHECKCARD 0529 Amazon Digital Svcs 866-216-1072 WA...,,0
,2,CHECKCARD 0601 WEBFACTION 44845862031 74198813153321293469746,,0
,2,CHECKCARD 0601 WEBFACTION 44845862031 74198813153321293469746 INTERNATIONAL...,,0
,2,CHECKCARD 0603 24 HOUR FITNESS SUNNYVALE CA 24692163155000576982781,,0
,2,CHECKCARD 0609 ESURANCE CAR INSURANCE 800-378-7262 CA...,,0
