DESCRIPTION,pin.location,factual_id,composite.address,name,po_box,email,locality
BCF - 1600 SAR 06/02 #000065900 PURCHASE BCF - 1600 SARATO SAN JOSE CA,,,,,,,
CHKCARD VALERO #7262 SAN FRANCISCO CA,"{'coordinates': ['-122.461007', '37.724658'], 'type': 'point'}",77203220-1e18-012f-0643-0030487f54d8,"1799 Ocean Ave  San Francisco, CA 94112, us",Valero,,,San Francisco
CHECKCARD 0114 IHOP 1719 BELMONT CA 24692163015000734926746,"{'coordinates': ['-122.282645', '37.525649'], 'type': 'point'}",71300a43-8052-47eb-8dbe-a0c5375fd9dd,"510 El Camino Real  Belmont, CA 94002, us",IHOP,,,Belmont
CHECKCARD 0921 OPA AUTHENTIC GREEK CUS 408-3997417 CA 24744553265134511772374,,,,Opa Authentic Greek Cuisine,,,
SHELL Service 07/30 #000427992 PURCHASE SHELL MOUNTAIN VIEW CA,,,,,,,
CHECKCARD 0401 WEBFACTION 44845862031 74198813091312419266723,,,,,,,
YOU SEE SUSHI SAN FRANCISCO CA,"{'coordinates': ['-122.462735', '37.762436'], 'type': 'point'}",989fc58a-ec8c-4613-89e9-05d647fc7fd8,"94 Judah St  San Francisco, CA 94122, us",You See Sushi,,,San Francisco
BIG 5 SPTG GDS 02/20 #000462508 PURCHASE BIG 5 SPTG GDS-00 SUNNYVALE CA,,,,,,,
Misc. Debit PHO VIETNAM SAN FRANCISCOCA,,,,Pho Vietnam,,,
EL METATE MEXICAN R BELMONT         CAUS,,,,,,,
SUBWAY        00521 MENLO PARK      CAUS,,,,,,,
CHECKCARD BART SFIA 0051 SAN FRANCISCO CA,,,,,,,
PHOENIX IRISH BAR SAN FRANCISCO CA,,,,,,,
CHECKCARD 0701 WEBFACTION 44845862031 74198813182325711434872,,,,,,,
SQ *GOT CURRY?      Santa Clara     CAUS,,,,,,,
CENTURY THEATRES 49 SAN BRUNO       CAUS,,,,,,,
TRIMMERS SAN FRANCISCO CA,"{'coordinates': ['-122.448305', '37.769931'], 'type': 'point'}",0c438d72-ba10-4e2b-8cc0-b0375b13ae31,"1576 Haight St  San Francisco, CA 94117, us",Trimmers,,,San Francisco
NEW ERITREA RSTRT & BA SAN FRANCISCO CA,"{'coordinates': ['-122.467633', '37.763868'], 'type': 'point'}",308b051d-4eee-4b22-8b0f-87fd30f05f9b,"907 Irving St  San Francisco, CA 94122, us",New Eritrea Restaurant and Bar,,new_eritrea@yahoo.com,San Francisco
CHECKCARD 0109 DA KINE ISLAND GRILL SUNNYVALE CA 24492153010401438005647,"{'coordinates': ['-122.0313', '37.3525'], 'type': 'point'}",0b6f0f28-c707-4365-9e73-ed6efb6167bd,"153 E Fremont Ave  Sunnyvale, CA 94087, us",Da Kine Cafe,,,Sunnyvale
WESTIN ST. FRANCIS DIN SAN FRANCISCO CA,,,,,,,
NEW EMMY'S RESTAURANT SAN FRANCISCO CA,"{'coordinates': ['-122.462813', '37.725407'], 'type': 'point'}",03cc35c5-8559-4d32-a8ad-b461b779109c,"1923 Ocean Ave  San Francisco, CA 94127, us",Emmy's Restaurant,,,San Francisco
QUIZNOS SUB #8615 QPS SAN FRANCISCO CA,"{'coordinates': ['-122.489086', '37.733971'], 'type': 'point'}",3ca74e76-6ba5-4c72-9de3-0def8baaea97,"1501 Sloat Blvd  San Francisco, CA 94132, us",Quiznos,,,San Francisco
CHECKCARD COUNTRY HEARTH INN. SAN FRANCISCO CA,"{'coordinates': ['-122.446137', '37.798541'], 'type': 'point'}",6727f7cd-a436-45af-b3a8-e3257df44d6f,"2707 Lombard St  San Francisco, CA 94123, us",Country Hearth Inn,,sanfrancisco@countryhearth.com,San Francisco
CHECKCARD 0201 WEBFACTION 44845862031 74198813034304620791508 INTERNATIONAL...,,,,,,,
CHECKCARD 0302 AMERICAN MENSA LTD 817-607-0060 TX...,"{'coordinates': ['-97.067879', '32.767694'], 'type': 'point'}",36b65df8-7797-41b1-a72c-f745bf7c0ab7,"1229 Corporate Dr W  Arlington, TX 76006, us",American Mensa,,,Arlington
R & G LOUNGE SAN FRANCISCO CA,"{'coordinates': ['-122.40483', '37.794097'], 'type': 'point'}",550f0d60-e1f2-4ec6-9394-5b93d1047fea,"631 Kearny St  San Francisco, CA 94108, us",R and G Executive Lounge,,,San Francisco
RABBIT'S FOOT MEADE SUNNYVALE CAUS,,,,Rabbit's Foot Meadery,,,
WASABI BISTRO SAN FRANCISCO CA,"{'coordinates': ['-122.435123', '37.760404'], 'type': 'point'}",c4778e2f-bad8-4716-b38e-9e25340fb206,"524 Castro St  San Francisco, CA 94114, us",Wasabi Bistro,,,San Francisco
EL RANCHO MARKET       MENLO PARK   CAUS,,,,,,,
REDWOOD CAFE        COTATI          CAUS,,,,,,,
THE WHITE HOUSE GARAGE SAN FRANCISCO CA,,,,,,,
SAN TUNG CHINESE RESTA SAN FRANCISCO CA,,,,San Tung Chinese Restaurant,,,
CHECKCARD 0818 BLACKBEAR DINER- M MADERA CA 24224433231105006465166,"{'coordinates': ['-122.221345', '38.134798'], 'type': 'point'}",0cf3bd70-7ee7-427d-933d-1cc8852bed3d,"Vallejo, CA , us",Blackbear Diner,,,Vallejo
CHECKCARD 1130 SMUGGLER'S COVE SAN FRANCISCOCA 24431063335207088500107,,,,,,,
PORT OF SAN FRANCI QPS   SAN FRANCISCOCA,"{'coordinates': ['-122.425512', '37.772734'], 'type': 'point'}",bf9054ee-8d68-4e46-bddd-9277ea2ba6f2,"San Francisco, CA 94102, us",The Urban School of San Franci,,,San Francisco
CHECKCARD 0821 THAI PEPPER CUISINE LLC SUNNYVALE CA 24431063234286857700983,"{'coordinates': ['-122.031909', '37.352759'], 'type': 'point'}",4105e7e6-3547-4e3c-97d4-557c09dc208f,"103 E Fremont Ave  Sunnyvale, CA 94087, us",Thai Pepper Cuisine,,,Sunnyvale
CHECKCARD 0429 HUNTER LABORATORIES CAMPBELL CA 24492153120693011036075,,,,Hunter Laboratories,,,
CHECKCARD 1018 FRY'S ELECTRONICS #12 SUNNYVALE CA 24492153292769011308086,"{'coordinates': ['-122.001694', '37.382106'], 'type': 'point'}",5fd2f311-aaac-4807-8447-308132f64934,"1077 E Arques Ave  Sunnyvale, CA 94085, us",Fry's Electronics,,,Sunnyvale
ARCO PAYPOINT 09/03 #000802492 PURCHASE 470 RALSTON AVE BELMONT CA,"{'coordinates': ['-122.273338', '37.523234'], 'type': 'point'}",c5f99796-0d11-47ad-8b4d-5471ec3967b1,"470 Ralston Ave  Belmont, CA 94002, us",Arco,,,Belmont
SAFEWAY STORE   525 El Camino Real     Menlo Park   CAUS,,,,,,,
CHECKCARD 0830 RABBIT'S FOOT MEADERY SUNNYVALE CA 24506013243980123666572,,,,Rabbit's Foot Meadery,,,
DENNY'S #6820       REDWOOD CITY    CAUS,"{'coordinates': ['-122.21467', '37.486792'], 'type': 'point'}",42953ee0-f4de-47e8-9858-f5c00cd93402,"1201 Broadway St  Redwood City, CA 94063, us",Denny's,,,Redwood City
THE SPA AT EUROSPA  CALISTOGA       CAUS,,,,,,,
FORT POINT SAN FRANCISCOCA,,,,Fort Point,,,
SAFEWAY STORE 12/24 #000129940 PURCHASE SAFEWAY STORE SUNNYVALE CA,,,,Safeway,,,
CVS 09700 02/20 #000126667 PURCHASE 09700--576 E El C Sunnyvale CA,"{'coordinates': ['-122.026719', '37.362226'], 'type': 'point'}",d99b073e-293a-47d7-ba62-b1d23037ca54,"576 E El Camino Real  Sunnyvale, CA 94087, us",CVS Pharmacy,,,Sunnyvale
CHECKCARD 0830 EL CAMINO MONGOLIAN BBQ SANTA CLARA CA 24122583243980013731367,,,,El Camino Mongolian BBQ,,,
ARCO PAYPOINT 10/02 #000577272 PURCHASE 1040 SUNNYVALE - SUNNYVALE CA,,a303bc39-c313-499a-b755-fd1be3d435aa,"496 S Murphy Ave  San Jose, CA 95119, us",Sunnyvale,,,San Jose
KIMM S FLOWER BASKE SUNNYVALE       CAUS,,,,Sunnyvale,,,
NOAH'S BAGEL #2113 SAN FRANCISCO CA,"{'coordinates': ['-121.879561', '37.686767'], 'type': 'point'}",e2a1ae75-dc07-4590-b926-441f0d1db66a,"2737 Laramie Gate Cir  Pleasanton, CA 94566, us",San Francisco Bagel,,,Pleasanton
SAFEWAY 1476 09/22 #000910966 PURCHASE 1300 WEST SAN CAR SAN JOSE CA,,,,,,,
BART SAN BRUNO 08/13 #000190509 PURCHASE BART SAN BRUNO ST SAN BRUNO CA,"{'coordinates': ['-122.416217', '37.637632'], 'type': 'point'}",17194bc8-347f-4f40-a0cb-5cad547866a0,"1151 Huntington Ave E  San Bruno, CA 94066, us",San Bruno BART Station,,,San Bruno
THE OLD SIAM THAI RE SAN FRANCISCO CA,,,,,,,
MENLO BBQ           MENLO PARK      CAUS,,,,,,,
CHECKCARD 0301 WEBFACTION 44845862031 74244693060308925800143 INTERNATIONAL...,,,,,,,
DONUT DELITE        MENLO PARK      CAUS,,,,Donut Delite,,,
PANDA EXPRESS #795  ROHNERT PARK    CAUS,,,,Panda Express,,,
GG DELIVERS         323-6004608     CAUS,,,,,,,
PIER 23 CAFE SAN FRANCISCO CA - EATING PLACES,,,,Pier 23 Cafe,,,
SHELL Service 11/18 #000530556 PURCHASE SHELL Service S MOUNTAIN VIEW CA,,,,,,,
CHECKCARD 0430 WEBFACTION 44845862031 74198813121317851597455,,,,,,,
ARCO PAYPOINT 08/22 #000589150 PURCHASE 1040 SUNNYVALE - SUNNYVALE CA,,a303bc39-c313-499a-b755-fd1be3d435aa,"496 S Murphy Ave  San Jose, CA 95119, us",Sunnyvale,,,San Jose
SANPPO JAPANESE RESTAURANSAN FRANCISCOCA,"{'coordinates': ['-122.429921', '37.785625'], 'type': 'point'}",2021719f-fd41-45a5-9e8a-3f37009e8b2f,"1702 Post St  San Francisco, CA 94115, us",Sanppo Restaurant,,,San Francisco
CAFE ZOE            MENLO PARK      CAUS,"{'coordinates': ['-122.152589', '37.459209'], 'type': 'point'}",2de6fd90-ff2a-4aaf-b2a3-43387da2c88a,"1929 Menalto Ave  Menlo Park, CA 94025, us",Cafe Zoe,,,Menlo Park
QUINCE RESTAURANT SAN FRANCISCO CA,,,,Quince Restaurant,,,
CVS 09700 02/12 #000710366 PURCHASE 09700--576 E El C Sunnyvale CA,"{'coordinates': ['-122.026719', '37.362226'], 'type': 'point'}",d99b073e-293a-47d7-ba62-b1d23037ca54,"576 E El Camino Real  Sunnyvale, CA 94087, us",CVS Pharmacy,,,Sunnyvale
GUITAR CENTER #222     SANTA CLARA  CAUS,,,,,,,
NEW HING LUNG RESTAURA SAN FRANCISCO CA,"{'coordinates': ['-122.480371', '37.754148'], 'type': 'point'}",14f29763-af0d-4dd0-847b-31ffdb8fe144,"1556 Noriega St  San Francisco, CA 94122, us",New Hing Lung Restaurant,,,San Francisco
SQ *PORKYS SJ       Sunnyvale       CAUS,,,,Porkys,,,
TRATTORIA PINOCCHIO SAN FRANCISCOCA,"{'coordinates': ['-122.40811', '37.798759'], 'type': 'point'}",29b32c29-6c3c-43fc-ac92-f8bb0e2ad953,"401 Columbus Ave  San Francisco, CA 94133, us",Trattoria Pinocchio,,,San Francisco
RAINBOW GROCERY          SAN FRANCISCOCA,,,,Rainbow Grocery,,,
JAPAN CENTER GARAGE      SAN FRANCISCOCA,"{'coordinates': ['-122.429937', '37.785173'], 'type': 'point'}",5f2f4b06-f54b-4235-a8a9-fd10b4484411,"1610 Geary Blvd "" Center"" San Francisco, CA 94115, us",Japan Center,,,San Francisco
MRS.T`S CAFE SAN FRANCISCO CA,"{'coordinates': ['-122.459928', '37.790565'], 'type': 'point'}",01e9956c-7383-47fe-88dd-bcfad6059233,"300 Finley Rd "" Cafe"" San Francisco, CA 94129, us",Presidio Cafe - Presidio Golf Course,,mperry@palmergolf.com,San Francisco
EL RANCHO MARKET       MENLO PARK   CAUS,,,,,,,
NORDSTROM #0426 SAN FRANCISCO CA,,,,,,,
CHECKCARD 0420 THAI PEPPER CUISINE LLC SUNNYVALE CA 24431063110286857500028,"{'coordinates': ['-122.031909', '37.352759'], 'type': 'point'}",4105e7e6-3547-4e3c-97d4-557c09dc208f,"103 E Fremont Ave  Sunnyvale, CA 94087, us",Thai Pepper Cuisine,,,Sunnyvale
CALISTOGA BIKESHOP  CALISTOGA       CAUS,"{'coordinates': ['-122.579273', '38.577577'], 'type': 'point'}",9851edf0-9218-41b7-848d-64ad3230547a,"1318 Lincoln Ave  Calistoga, CA 94515, us",Calistoga Bikeshop and Rerntails,,calbikes@gmail.com,Calistoga
SUNNYVALE 76 02/23 #000701549 PURCHASE 1296 SUNNYVALE SA SUNNYVALE CA,,,,,,,
THE WILLOWS MAR 60 MIDDLEFIELD RD.     MENLO PARK   CAUS,"{'coordinates': ['-122.163553', '37.454411'], 'type': 'point'}",6b3cac9b-53f4-4043-9a76-816257b17dbb,"60 Middlefield Rd  Menlo Park, CA 94025, us",Willows Market,,,Menlo Park
CAFE ZOE            MENLO PARK      CAUS,"{'coordinates': ['-122.152589', '37.459209'], 'type': 'point'}",2de6fd90-ff2a-4aaf-b2a3-43387da2c88a,"1929 Menalto Ave  Menlo Park, CA 94025, us",Cafe Zoe,,,Menlo Park
BEVERAGES & MO 11/07 #000886296 PURCHASE BEVERAGES & MOR SUNNYVALE CA,"{'coordinates': ['-122.058035', '37.374661'], 'type': 'point'}",4b033d72-d7ed-44c8-a725-c5b7c0bd2748,"1247 W El Camino Real  Sunnyvale, CA 94087, us",Beverages and More,,,Sunnyvale
PIZZA MY HEART      REDWOOD CITY    CAUS,"{'coordinates': ['-122.229094', '37.486047'], 'type': 'point'}",77dd99c3-3ff6-48b5-a51a-738276f8a969,"831 Middlefield Rd  Redwood City, CA 94063, us",Pizza My Heart,,,Redwood City
CHECKCARD 0307 DA KINE ISLAND GRILL SUNNYVALE CA 24492153066401437000030,"{'coordinates': ['-122.0313', '37.3525'], 'type': 'point'}",0b6f0f28-c707-4365-9e73-ed6efb6167bd,"153 E Fremont Ave  Sunnyvale, CA 94087, us",Da Kine Cafe,,,Sunnyvale
POS PUR ALCATRAZ SAN FRANCISCOCA,"{'coordinates': ['-122.422714', '37.826586'], 'type': 'point'}",40e16fd5-4db4-4234-9383-fc7b3473d1d0,"El Cerrito, CA , us",Alcatraz,,,El Cerrito
CHECKCARD 0524 GODFATHERS BURGER LOU BELMONT CA 24692163145000152820721,"{'coordinates': ['-119.750818', '36.750607'], 'type': 'point'}",365de834-8e44-4d74-a96e-34d19ec40858,"4467 E Belmont Ave  Fresno, CA 93702, us",Belmont Burger,,,Fresno
MI PUEBLO FOODS 1731 E. BAYSHORE BLVD. E. PALO ALTO CAUS,"{'coordinates': ['-122.137735', '37.461487'], 'type': 'point'}",405765eb-cd7b-461c-890d-1129a70feaf5,"1731 E Bayshore Rd  East Palo Alto, CA 94303, us",Mi Pueblo,,,East Palo Alto
MI PUEBLO FOODS 1731 E. BAYSHORE BLVD. E. PALO ALTO CAUS,"{'coordinates': ['-122.137735', '37.461487'], 'type': 'point'}",405765eb-cd7b-461c-890d-1129a70feaf5,"1731 E Bayshore Rd  East Palo Alto, CA 94303, us",Mi Pueblo,,,East Palo Alto
HAYES VALLEY BAKEWORKS SAN FRANCISCOCA,"{'coordinates': ['-122.423269', '37.778447'], 'type': 'point'}",1c0104ee-44a6-4a42-85a3-bab4ccbcace9,"550 Gough St  San Francisco, CA 94102, us",Hayes Valley Bakeworks,,bakeworks@fullplateconsulting.com,San Francisco
WALGREENS #6291 SAN FRANCISCO CA,"{'coordinates': ['-122.404788', '37.730109'], 'type': 'point'}",0b9557f4-9b3f-4300-be79-b4eb6ac599f5,"2494 San Bruno Ave  San Francisco, CA 94134, us",Walgreens,,,San Francisco
CHECKCARD 0126 ORIGINAL GRAVITY PUBLIC SAN JOSE CA 24690293027080080270199,"{'coordinates': ['-121.889665', '37.335116'], 'type': 'point'}",57681a6a-bad0-442b-8b26-a1a090e6fb5f,"66 S 1st St  San Jose, CA 95113, us",Original Gravity Public House,,,San Jose
NOPA SAN FRANCISCO CA,"{'coordinates': ['-122.437644', '37.774859'], 'type': 'point'}",195047c5-fa71-4849-9c01-381f6ec5a431,"560 Divisadero St  San Francisco, CA 94117, us",Nopa,,info@nopasf.com,San Francisco
CSI-098893/1528 CSI-098893/4990 COMMERCROHNERT PARK CAUS,,,,Csi,,,
SHELL Service 12/18 #000748555 PURCHASE SHELL Service S MOUNTAIN VIEW CA,,,,,,,
NIJIYA MARKET 11/08 #000321573 PURCHASE 143 E EL CAMINO R MOUNTAIN VIEW CA,"{'coordinates': ['-122.071605', '37.379254'], 'type': 'point'}",fa753f59-8e4a-4621-89a6-aa96efa943bc,"143 E El Camino Real  Mountain View, CA 94040, us",Nijiya Market,,,Mountain View
ARCO PAYPOINT 01/22 #000490226 PURCHASE 470 RALSTON AVE BELMONT CA,"{'coordinates': ['-122.273338', '37.523234'], 'type': 'point'}",c5f99796-0d11-47ad-8b4d-5471ec3967b1,"470 Ralston Ave  Belmont, CA 94002, us",Arco,,,Belmont
ARCO PAYPOINT 04/05 #000079544 PURCHASE 1040 SUNNYVALE - SUNNYVALE CA,,a303bc39-c313-499a-b755-fd1be3d435aa,"496 S Murphy Ave  San Jose, CA 95119, us",Sunnyvale,,,San Jose
THE OWL TREE SAN FRANCISCO CA,,,,,,,
CHECKCARD 1122 CRAZY BUFFET SUNNYVALE CA 24493983327206643001258,"{'coordinates': ['-122.017693', '37.355192'], 'type': 'point'}",a31df9b8-bbc7-4ab5-94e2-269ce8b2d0b6,"830 E El Camino Real  Sunnyvale, CA 94087, us",Crazy Buffet,,,Sunnyvale
OLD NAVY USA 10/17 #000006617 PURCHASE OLD NAVY USA SAN JOSE CA,,,,Old Navy,,,
KAISER 02090371 1150 VETERANS BLVD     REDWOOD CITY CAUS,,,,,,,
CHECKCARD 1219 ROUND TABLE PI00003228 SAN CARLOS CA 24164073354074240175527,"{'coordinates': ['-122.24992', '37.498263'], 'type': 'point'}",3041744d-b38f-4615-a01a-2551ccfb94e6,"San Carlos, CA 94070, us",Round Table Pizza,,,San Carlos
RABBIT'S FOOT MEADE SUNNYVALE       CAUS,,,,Rabbit's Foot Meadery,,,
HAYSTACK PIZZA INC       SAN FRANCISCOCA,,,,,,,
NEW GARDEN RESTAURANT SAN FRANCISCO CA,"{'coordinates': ['-122.420143', '37.779598'], 'type': 'point'}",6adcd13c-f5a8-4f15-8d3c-43ece033b09a,""" Francisco"" San Francisco, CA 94102, us",San Francisco Flower & Garden Show,,,San Francisco
LA HACIENDA MARKET  MENLO PARK      CAUS,"{'coordinates': ['-122.152641', '37.459345'], 'type': 'point'}",5a8e4bca-1e34-47da-bbd4-2eb87e5868fe,"1933 Menalto Ave  Menlo Park, CA 94025, us",La Hacienda Market,,,Menlo Park
SPARKYS DINER SAN FRANCISCOCA,,,,,,,
CHECKCARD POMPEI'S GROTTO SAN FRANCISCO CA,"{'coordinates': ['-122.418104', '37.808003'], 'type': 'point'}",0c85dce0-cd40-012e-5616-003048cad9da,"340 Jefferson St  San Francisco, CA 94133, us",Pompei's Grotto,,pompeis@aol.com,San Francisco
CHECKCARD 1210 AMC CUPERTINO SQ #0424 CUPERTINO CA 24610433345072000134112,"{'coordinates': ['-122.014599', '37.325956'], 'type': 'point'}",6232e09c-8914-44ea-b111-b1659dff8eaf,"Cupertino, CA 95014, us",AMC Cupertino Square 16,,,Cupertino
CSI-098893/1528        ROHNERT PARK CAUS,"{'coordinates': ['-122.699337', '38.33382'], 'type': 'point'}",e3dd858e-d488-4dee-8f92-f0a214773485,"550 Bonnie Ave  Rohnert Park, CA 94928, us",Rohnert,,,Rohnert Park
THE WILLOWS MAR 60 MIDDLEFIELD RD.     MENLO PARK   CAUS,"{'coordinates': ['-122.163553', '37.454411'], 'type': 'point'}",6b3cac9b-53f4-4043-9a76-816257b17dbb,"60 Middlefield Rd  Menlo Park, CA 94025, us",Willows Market,,,Menlo Park
CHECKCARD 0106 HANA SUSHI TOGO SANTA CLARA CA 24122473007900013100140,"{'coordinates': ['-122.013607', '37.39117'], 'type': 'point'}",71f2d1a0-bef8-012e-5614-003048cad9da,"621 Caliente Dr  Sunnyvale, CA 94085, us",Hana Sushi Togo,,,Sunnyvale
YOPPI YOGURT SAN FRANCISCOCA,,,,Yoppi Yogurt,,,
CLEO'S BRAZILLIAN S SAN BRUNO       CAUS,,,,Cleo's,,,
HOLY SMOKES     6650 COMMERCE BLVD STE ROHNERT PARK CAUS,"{'coordinates': ['-122.711676', '38.343873'], 'type': 'point'}",d1d9436d-be45-4f29-9a10-79accf69bf82,"6650 Commerce Blvd  Rohnert Park, CA 94928, us",Holy Smokes,,,Rohnert Park
AM VALERO FOOD 08/16 #000099854 PURCHASE 1502 E YOSEMITE A MADERA CA,"{'coordinates': ['-120.0865', '36.982191'], 'type': 'point'}",1c7ee582-2491-4348-8e50-d10b88b8df87,"1502 E Yosemite Ave  Madera, CA 93638, us",Valero,,,Madera
CAL MART               CALISTOGA    CAUS,,,,,,,
CHECKCARD 0129 RED ROCK COFFEE MOUNTAIN VIEWCA 24071053030158158148067,"{'coordinates': ['-122.07889', '37.393723'], 'type': 'point'}",0ba5f85d-8957-4784-935b-0989b881da1f,"201 Castro St Ste 1 Mountain View, CA 94041, us",Red Rock Coffee,,,Mountain View
