keywords,city,Aggdata Store Number,store_number,address,state,zip_code,
American Eagle Outfitters,Muskogee,62,00062 000062,501 N. Main Street,OK,74401,
American Eagle Outfitters,Lake Jackson,63,00063 000063,100 Highway 332 West,TX,77566,
American Eagle Outfitters,San Antonio,64,00064 000064,6909 N. Loop 1604 East,TX,78247,
American Eagle Outfitters,Maple Grove,66,00066 000066,12433 Elm Creek Boulevard,MN,55369,
American Eagle Outfitters,CO Springs,67,00067 000067,1710 Briargate Boulevard,CO,80920,
American Eagle Outfitters,Stockton,68,00068 000068,4950 Pacific Avenue,CA,95207,
American Eagle Outfitters,Port Richey,69,00069 000069,9409 US Hwy 19,FL,34668,
American Eagle Outfitters,Sherman,70,00070 000070,4800 N. Texoma Parkway,TX,75090,
American Eagle Outfitters,Toms River,71,00071 000071,1201 Hooper Avenue,NJ,8753,
American Eagle Outfitters,Brunswick,72,00072 000072,100 Mall Boulevard,GA,31525,
American Eagle Outfitters,Huntersville,73,00073 000073,8605 Townley Road,NC,28078,
American Eagle Outfitters,Burlington,74,00074 000074,649 Cascade Mall Drive,WA,98233,
American Eagle Outfitters,National City,76,00076 000076,3030 Plaza Bonita Road,CA,91950,
American Eagle Outfitters,Palm Desert,77,00077 000077,72-840 Highway 111,CA,92260,
American Eagle Outfitters,El Paso,78,00078 000078,750 Sunland Park Drive,TX,79912,
American Eagle Outfitters,Mt. Pleasant,79,00079 000079,1224 Belk Drive,SC,29464,
American Eagle Outfitters,Vero Beach,80,00080 000080,6200 20th Street,FL,32966,
American Eagle Outfitters,Houston,83,00083 000083,5137 West Alabama,TX,77056,
American Eagle Outfitters,Victoria,86,00086 000086,7800 N. Navarro Street,TX,77904,
American Eagle Outfitters,South Miami,88,00088 000088,5701 Sunset Drive,FL,33143,
American Eagle Outfitters,Torrance,90,00090 000090,3525 Carson Street,CA,90503,
American Eagle Outfitters,San Diego,91,00091 000091,4353 La Jolla Village Drive,CA,92122,
American Eagle Outfitters,Minnetonka,92,00092 000092,12349 Wayzata Boulevard,MN,55305,
American Eagle Outfitters,Rancho Cucamonga,94,00094 000094,12550 North Mainstreet,CA,91739,
American Eagle Outfitters,Redmond,95,00095 000095,16548 NE 74th Street,WA,98052,
American Eagle Outfitters,Pembroke Pines,96,00096 000096,11401 Pines Boulevard,FL,33026,
American Eagle Outfitters,Westlake,97,00097 000097,253 Crocker Park Boulevard,OH,44145,
American Eagle Outfitters,North Little Rock,98,00098 000098,3929 McCain Boulevard,AR,72116,
American Eagle Outfitters,CO Springs,102,000102 0000102,750 Citadel Drive East,CO,80909,
American Eagle Outfitters,Moline,103,000103 0000103,4500 16Th Street,IL,61265,
American Eagle Outfitters,Norman,104,000104 0000104,3317 W. Main Street,OK,73072,
American Eagle Outfitters,Florence,105,000105 0000105,2028 Florence Mall Road,KY,41042,
American Eagle Outfitters,Greensburg,106,000106 0000106,5256 Route 30,PA,15601,
American Eagle Outfitters,Bowling Green,107,000107 0000107,2625 Scottsville Road,KY,42104,
American Eagle Outfitters,Cedar Falls,108,000108 0000108,1405 College Square Mall,IA,50613,
American Eagle Outfitters,Tupelo,109,000109 0000109,1001 Barnes Crossing Road,MS,38804,
American Eagle Outfitters,Victor,110,000110 0000110,757 Eastview Mall,NY,14564,
American Eagle Outfitters,Freehold,111,000111 0000111,3710 Route 9,NJ,7728,
American Eagle Outfitters,Meriden,112,000112 0000112,470 Lewis Avenue,CT,6451,
American Eagle Outfitters,Knoxville,113,000113 0000113,7600 Kingstown Pike,TN,37919,
American Eagle Outfitters,Columbia,114,000114 0000114,100 Columbiana Circle,SC,29212,
American Eagle Outfitters,Wichita,115,000115 0000115,7700 East Kellogg Dr.,KS,67207,
American Eagle Outfitters,Pineville,117,000117 0000117,11025 Carolina Place Pkwy,NC,28134,
American Eagle Outfitters,Jacksonville,118,000118 0000118,10300 Southside Boulevard,FL,32256,
American Eagle Outfitters,Bloomington,119,000119 0000119,1615 East Empire Street,IL,61701,
American Eagle Outfitters,Cincinnati,120,000120 0000120,9643 Colerain Road,OH,45251,
American Eagle Outfitters,Peoria,121,000121 0000121,4501 War Memorial,IL,61613,
American Eagle Outfitters,Austin,123,000123 0000123,2901 S Capital of TX Hwy,TX,78746,
American Eagle Outfitters,Fort Worth,124,000124 0000124,4800 South Hulen Street,TX,76132,
American Eagle Outfitters,Plano,125,000125 0000125,811 North Central Expressway,TX,75075,
American Eagle Outfitters,Rochester,126,000126 0000126,405 Greece Ridge Ctr Dr,NY,14626,
American Eagle Outfitters,Columbia,127,000127 0000127,10300 Little Patuxent Parkway,MD,21044,
American Eagle Outfitters,Pensacola,129,000129 0000129,5100 North 9th Avenue,FL,32504,
American Eagle Outfitters,Chesapeake,130,000130 0000130,1401 Greenbrier Parkway S,VA,23320,
American Eagle Outfitters,Burnsville,131,000131 0000131,2049-50 Burnsville Ctr.,MN,55306,
American Eagle Outfitters,Arlington,132,000132 0000132,3811 South Cooper,TX,76015,
American Eagle Outfitters,Moorestown,134,000134 0000134,400 Route 38,NJ,8057,
American Eagle Outfitters,College Station,135,000135 0000135,1500 Harvey Road,TX,77840,
American Eagle Outfitters,Huntsville,136,000136 0000136,5901 University Drive,AL,35806,
American Eagle Outfitters,Wyomissing,137,000137 0000137,1665 State Hill Road,PA,19610,
