UNIQUE_MEM_ID|DESCRIPTION_UNMASKED|GOOD_DESCRIPTION|PHYSICAL_MERCHANT|STREET|CITY|STATE|LATITUDE|LONGITUDE|FACTUAL_ID|STORE_NUMBER|ZIP_CODE|UNIQUE_TRANSACTION_ID|TRANSACTION_DATE|AMOUNT
1000564013176690|TARGET        00009183   MATTHEWS     NC||||||||0001158d-855e-4fdc-a6ca-1c50f0ed5889|||100056401324548000|5/13/14|13.19
1000564013176690|TARGET        00010876   CHARLOTTE    NC|Target|||||||0001158d-855e-4fdc-a6ca-1c50f0ed5889|||100056401310446000|4/30/14|47.58
1000695611226340|MIDLOTHIAN FAMILY PRACTIC MIDLOTHIAN VA 23113 USA||||||||0009b4a2-3621-456c-a745-25de52aa2c9d|||||
1000616410440800|WOARTICHOKE PIZZA JAMAICA NY||||||||000b20d4-93e4-42a1-ba05-b391193403d6|||||
1000000000000000|STAPLES XXXXXXXX EL CERRITO CA|Staples|||||||00111e13-ebd8-4c44-8921-5a60d38cb6a7|||10000000000000000|2014.03.18|13.31
1000564012598600|APPLEBEES 996398299639   PHOENIX      AZ|Applebee's|||||||0021d87e-d726-41c3-b8e8-12726cefe1d2|||100056401329164000|5/18/14|35.73
1000564012085980|TACO BELL 001600162396   WHEATRIDGE   CO|Taco Bell|||||||0022eac3-078c-4580-890c-767199015dd3|||100056401332596000|5/20/14|5.34
1000000410239860|FOUR SEASONS HOTEL MIAMI|Four Seasons Hotels and Resorts|||||||002bc596-d909-46b6-a3ad-54667d033276|||||
1000564013913080|TOYS R US #6313    QPS   EATONTOWN    NJ|ToysRUs|||||||002d87c8-5c9b-4296-8c6a-96cd826bce8e|||100056401320751000|5/9/14|99.42
1000524411877340|SUN VALLEY SPORTS  XXXXX0046 AKRON OH||||||||002e7f67-3855-483b-8509-1ef75e8f5c3b|||1000524482111620||
1000564012262930|WAL-MART #2116           QUEENSBURY   NY||||||||002ebc80-9e96-498d-81b7-3a0b8cff0fb1|||||
1000564012262930|WM SUPERCENTER #2116     QUEENSBURY   NY|Walmart|||||||002ebc80-9e96-498d-81b7-3a0b8cff0fb1|||||
1000616410329200|WILCO 3060 00030601 KINGSLAND GA||||||||0036c9dc-2f9f-4e7e-b36c-9d7974025907|||||
1000137239532650|BARNEY'S NEW YORK #151|Barneys New York|||||||00388998-df21-4df9-8923-48b43836c5cd|||||
1000137218556300|VONS     Store  1610THOUSAND OA GROCERY STORE|VONS|||||||0038ad7a-15f7-47b6-8679-323ffadc26ea|||||
1000616422016730|SAMSCLUB 4729 GAS STERLING VA|Sam's Club|||||||003c53bd-ecfb-4488-8413-6ba0da78276e|||10006164735355600|5/19/14|58.67
1000000000000000|SRI MEENAKSHI TEMPLE S PEARLAND TX||||||||003c58e0-bea0-4cba-9bd4-d0b9dd4de60b|||10000000000000000|2014.03.16|6
1000616410329200|LOVES COUNTRY 00003715 DILLON SC|Love's|||||||003ce840-0f7d-4740-b8d9-977a6aad571e|||||
1000137232398200|SOLAR PLANET OF PENTAG 703-418-3993 VA||||||||003d2428-9bb3-4334-ba90-3cba6bae4eb9|||||
1000616410688850|KROGER #767 LEXINGTON KY|The Kroger Co.|||||||003e1816-615c-4ce9-a70f-9541a7ef3968|||||
1000616411842770|7-ELEVEN 11639 DUNDALK MD|7-Eleven|||||||00413f1c-babd-4177-b6da-8d3b5cc369c9|||10006164737389600||
1000564015171180|BURGER KING #11326 Q07   ORO VALLEY   AZ|Burger King Corporation|||||||00516c4c-6a02-49e7-8126-c538955f54cd|||||
1000564012803850|VERRILL FARM             CONCORD      MA|Verrill Farm|||||||0051708a-2549-4326-a41f-431441cc1211|||||
1000564012113210|STATE LINE LIQUORS       ELKTON       MD||||||||0052f2d9-6a38-4027-a899-a8fe9f04bd5c|||100056401312635000|5/1/14|124.35
1000564014576180|ALEX BELTWAY LIBERTY     ALEXANDRIA   VA|Liberty|||||||00532e78-df94-4014-9ee5-2f8bffc55c48|||100056401327573000|5/16/14|28.55
1000564012687210|TINOS CAFE PIZZERIA      EXCELSIOR    MN||||||||00541ee9-22de-4a85-a57f-950a0db7e4a6|||||
1000000000000000|SUSHI CORTARO            TUCSON       AZ||||||||0058a288-a5ff-4036-b544-b69cf3b584bc|||100000000000000000|2014.03.14|34.32
1000616411214040|FORT STREET CAFE HONOLULU HI||||||||005c263b-3b73-4769-8173-07eaa151ae80|||||
1000616411919320|NATIVE FOODS - WESTWOO LOS ANGELES CA||||||||005e9bec-4a8b-407f-820e-75468253a3f3|||||
